total_population,population_density,male_percent,percent_inhouseholds,percent_marriedhouseholds,percent_cohabitingcouple,percent_solomale,percent_solofemale,percent_occupiedhousingunits,percent_owneroccupied,percent_renteroccupied,median_age,percent_under5,percent_5to9,percent_10to14,percent_15to19,percent_20to24,percent_25to29,percent_30to34,percent_35to39,percent_40to44,percent_45to49,percent_50to54,percent_55to59,percent_60to64,percent_65to69,percent_70to74,percent_75to79,percent_80to84,percent_over85,male_median_age,male_percent_under5,male_percent_5to9,male_percent_10to14,male_percent_15to19,male_percent_20to24,male_percent_25to29,male_percent_30to34,male_percent_35to39,male_percent_40to44,male_percent_45to49,male_percent_50to54,male_percent_55to59,male_percent_60to64,male_percent_65to69,male_percent_70to74,male_percent_75to79,male_percent_80to84,male_percent_over85,Female_median_age,female_percent_under5,female_percent_5to9,female_percent_10to14,female_percent_15to19,female_percent_20to24,female_percent_25to29,female_percent_30to34,female_percent_35to39,female_percent_40to44,female_percent_45to49,female_percent_50to54,female_percent_55to59,female_percent_60to64,female_percent_65to69,female_percent_70to74,female_percent_75to79,female_percent_80to84,female_percent_over85,median_household_income,percent_income_under10k,percent_income_10to15k,percent_income_15to25k,percent_income_25to35k,percent_income_35to50k,percent_income_50to75k,percent_income_75to100k,percent_income_100to150k,percent_income_150to200k,percent_income_over200k,percent_novehicles,percent_1vehicle_perperson,percent_lessthan1vehicle_perperson,under25y_percent_highschool,under25y_percent_somecollege,under25y_percent_bachelors,over25y_percent_highschool,over25y_percent_somecollege,over25y_percent_bachelors,over25y_percent_graduatedegree,bike_volume
0.341488395,1.81623341,-0.014250606,0.223109613,-1.057274629,0.163783207,-0.30654705,-0.554320706,1.066966069,-1.233280841,1.411036415,-0.387677486,0.465783329,0.71132002,0.800654826,0.620616065,0.061682596,-0.439029515,-0.442953463,0.396759105,0.823600801,0.810171296,0.82786249,0.323666788,-0.597730237,-1.013723798,-0.683814729,-0.941864605,-0.76537831,-0.87667238,-0.536472834,0.320203557,0.52510206,0.456170856,0.751371651,0.364351436,-0.359347321,-0.42058366,0.124615441,0.508058343,0.70793921,1.101743474,0.150712452,-0.568702401,-1.06653791,-1.002425394,-0.914182496,-0.857558407,-0.680759975,-0.346539866,0.554386355,0.826457648,1.067330341,0.453025015,-0.183148993,-0.48773059,-0.445682166,0.655107632,0.99750111,0.72844435,0.459438967,0.436454341,-0.54891903,-0.877572083,-0.372765139,-0.902112155,-0.655252292,-0.818807373,-0.791386712,1.032943756,0.371977495,-0.624298197,0.902498713,1.356546229,0.25152966,0.104954552,-0.374216295,-1.089527707,-0.991740531,0.645913035,-1.256107798,0.542359516,-0.065056129,0.018237177,-0.811606171,0.57752336,0.871149218,-1.313279899,-0.910505661,2
-0.261151455,1.662635624,-0.352884753,0.399265873,-1.432510029,-0.24095674,0.068433801,-0.062147661,0.752169277,-1.36401225,1.482290766,-0.654739796,0.232977597,0.746614045,1.271639706,1.294765328,0.341247884,-0.374118029,-0.549919573,-0.661187472,-0.333488862,0.853942836,0.012740933,-0.337225568,-0.048556021,-0.400569884,-0.674553999,-0.357735224,-0.657891513,-0.961767924,-1.198259266,0.34461241,1.157457118,0.786568614,1.585731078,0.750148707,-0.140648132,-0.717877325,-0.484135571,-0.182986733,-0.492303735,-0.040006311,-0.78257556,-0.244249549,-0.155381125,-1.095830003,-0.916118142,-0.790846828,-0.880027591,-0.42685853,0.110029546,0.294016536,1.633391086,0.953113078,0.005819484,-0.535981771,-0.375722177,-0.778130968,-0.403661381,1.888520704,0.065518256,0.076665164,0.123398417,-0.573493697,-0.301018056,0.072464925,-0.535098961,-0.838740632,-1.510062296,1.511332709,3.155897575,2.186356721,0.281868425,0.149905442,-1.564433319,-1.429177499,-1.408160413,-0.405492239,-0.991740531,1.394872739,-1.019669534,0.632601219,0.365878882,-0.446691971,-1.065668024,-0.234879365,0.476712895,-1.582468104,-0.975064914,2
0.574385201,1.955128852,0.663074033,-0.645853905,-1.202829759,0.015866022,-0.301831338,-0.641317681,0.762609713,-1.330666194,1.451329774,-0.814977182,0.272776633,0.683714902,1.539670875,0.770402197,0.095100397,-0.04445911,0.030476616,0.109817292,0.410690234,-0.143216664,1.333654311,-0.30773332,-1.061566196,-1.331800995,-1.099233892,-1.016440364,-1.02487293,-0.907776757,-0.839003774,0.130986861,0.50343052,1.622054385,0.676801459,0.002194633,-0.056687913,0.11562094,-0.115022186,-0.140469778,-0.049904245,1.488498626,0.064600831,-1.288090392,-1.810072635,-0.688143521,-1.049292489,-0.822750993,-0.603271502,-0.748133183,0.367697123,0.789069023,1.259705481,0.790128872,0.160261927,-0.036607326,-0.059105939,0.356516068,0.957464581,-0.188345357,0.960688614,-0.592415981,-0.710146271,-0.748116914,-1.374668156,-0.907328535,-1.116719059,-0.897234933,-1.375893643,3.454787828,0.557572167,0.517530364,0.945300802,-0.300333658,-1.40372863,0.363723814,-1.006071034,-1.336540515,-0.991740531,0.691630892,-1.123676602,-4.99E-06,-0.0328968,-0.208944111,-1.065668024,0.596416447,1.303756799,-1.703138679,-1.144532953,2
0.144739652,-0.841330489,-0.205664687,-0.388052364,-1.584278268,0.066639716,0.797541933,-0.021531225,-0.335988768,-0.86628632,0.792472286,-0.832781336,0.615730398,0.822059201,1.047270825,0.685282146,0.121774981,0.185726699,-0.514547547,-0.56045258,-0.855639375,-0.637936621,0.241025984,0.200733045,-0.002881783,-0.446340394,-0.910426482,-0.328397573,-0.24278377,-0.707237713,-0.990269245,0.756963843,0.994318854,1.254198395,0.495315084,0.212129796,0.141008416,-0.603739276,-1.019031487,-0.862286729,-0.741212156,-0.677938024,0.689249635,-0.349406102,-0.26996505,-0.691856888,0.148721741,0.009821267,-0.566498706,-0.66781452,0.431620326,0.583187985,0.735364068,0.805517115,0.041215654,0.210105129,-0.411455102,-0.033080425,-0.662714433,-0.381042646,0.97265996,-0.220919314,0.296869914,-0.557900423,-1.025821733,-0.66734093,-0.414617056,-0.655361436,-1.368294911,2.931549912,1.79486998,0.00809916,-0.188954553,0.492087158,-0.16630253,-0.615902677,-1.264557063,-1.336540515,-0.935605811,1.090824364,-0.629663115,0.527998529,-0.11007919,-0.478391685,-0.772519732,0.114642738,1.609126855,-1.109068158,-0.829806595,3
1.499775613,0.942748312,-0.852015036,-1.032516622,-1.602373779,-0.279317051,-0.079561469,-0.317732659,0.575878374,-1.207517739,1.295754181,-1.509339188,1.52073069,2.024921021,2.043536288,0.847498911,0.26699696,-0.043416682,0.014442983,-0.136975488,-0.667637701,-1.297006376,-0.708505051,-0.971078132,-0.922685585,-1.137869477,-1.242908973,-1.240403811,-0.931411631,-1.0342993,-1.803321148,1.205587529,2.363056488,2.611254369,0.93223662,0.347037556,-0.381741063,-0.531137153,-0.386250798,-0.789578712,-1.267824568,-0.832865995,-0.707129463,-0.911951904,-0.614289563,-1.394350938,-1.163791173,-0.962412788,-0.893840275,-1.358555025,1.683502884,1.584549998,1.353973035,0.730327425,0.190364386,0.193879315,0.482425653,0.123128738,-0.412463717,-1.020558363,-0.479058491,-1.040708247,-0.832714831,-1.46452532,-1.061902524,-1.232384523,-0.877984756,-0.925744952,-1.232963764,0.838598244,1.73300509,1.835024857,1.030904979,-0.192276274,0.090824972,-0.85618842,-1.149674384,-1.089527707,-0.991740531,-0.245503894,-1.06025288,-1.139106023,0.520243662,0.123902892,-0.914208073,0.199661628,0.883872971,-1.146197565,-1.184882487,3
0.004795008,2.417437418,-0.334885812,0.319779069,-0.813036466,0.131841601,-0.566777676,-0.458035983,0.040675546,-1.377640155,1.365497817,-0.76156472,0.720031721,0.555859721,1.082372421,0.657701228,0.084488172,-0.147006504,-0.128734072,-0.218009036,-0.160496555,0.179190129,0.235041511,0.019904627,-0.259842211,-0.699898808,-0.68135547,-0.569651044,-1.018988224,-0.848459898,-0.876820142,0.767033827,0.032663262,1.067526432,0.757987001,0.548756597,-0.131025874,0.01543333,0.038649507,-0.496761754,-0.545502422,0.049610833,-0.42128006,0.216074099,-0.847371878,-1.003856947,-0.713193772,-1.121104683,-0.829302417,-0.475049728,0.618330286,1.00645823,0.995186494,0.525098166,-0.273208573,-0.1556604,-0.249575037,-0.4527008,0.222456717,0.808099091,0.356613052,0.383821131,-0.626110154,-0.519607122,-0.384273884,-0.432293726,-0.898348876,-0.717987547,-0.811687801,0.255561708,1.217464334,0.798595856,0.196264247,0.041848058,-0.503782375,1.602119566,-0.56090065,-1.108528692,-0.860759519,0.629828586,-1.035536109,0.064501929,1.176293978,-0.050445538,-0.660146221,1.182102132,-0.961071122,-0.366480006,-0.837876502,3
-1.841854608,-1.407148713,5.768346848,-5.782809235,-1.385842077,-0.127454686,0.817977625,0.28236053,-0.401775382,-0.713326014,0.629645628,0.057426364,-2.773135049,-1.587164636,-2.521731079,-0.734679498,1.014468572,1.057573447,1.362724085,1.982342365,1.290336347,2.925218717,3.350692108,0.285869766,0.552006819,-2.074189996,-2.547508422,-1.530999808,-0.079020468,-1.025610071,1.505611016,-2.740127945,-2.115028411,-2.622095173,-1.649254484,-1.092068639,0.150779824,0.686888046,2.396944982,2.541058284,5.65409965,6.849636436,1.461124255,1.471024724,-1.991301192,-2.36253431,-1.983626797,0.418944529,-0.935568068,-1.647702213,-2.669515416,-0.471065325,-2.01987354,0.901775959,4.307727631,2.507623439,2.516683382,0.594967666,-1.871119825,-3.428890699,-3.497172687,-1.732984765,-1.066858374,-1.837152296,-2.530177207,-0.543855763,-0.576943761,-0.837397471,2.786283385,-1.14970584,-0.391022823,-1.520194452,-0.937991108,-0.642515374,-2.367956761,-2.168518247,2.124481989,1.323597415,2.881555096,-0.008942783,-1.256107798,-1.135218679,0.931883076,-2.206026131,1.909787135,-1.755772838,-1.851733787,0.710272813,2.83393101,4
-1.088425696,-0.905412237,0.992212501,-0.065081982,-0.280401724,3.274743407,4.080441395,2.765818667,-3.294696318,-0.970419449,0.353582647,-0.743760566,-1.808233273,-2.122204915,-2.210130404,-1.665592782,1.178088139,3.248727014,2.270070409,0.652489179,0.603233045,-0.839479082,-1.605997403,-1.01102397,-0.733919466,-0.947892444,-0.932646336,-0.462472424,-0.344428594,0.050535658,-0.290666444,-2.016766002,-2.231602887,-2.649826314,-1.764705686,0.726792724,3.464786433,2.156101104,0.876860651,0.808105917,-0.535680048,-1.904793504,0.081731472,-0.226301682,-0.884857308,-0.847180639,-0.063240857,-0.121695838,0.577193634,-0.973025441,-1.471168088,-1.849616992,-1.505073065,-1.466139136,1.481813189,2.958358207,2.296637358,0.314538325,0.238649688,-0.934797082,-0.999106832,-1.897548521,-1.128261693,-0.902878656,-0.923630692,-0.74905294,-0.480915255,-0.206202402,2.043904293,-0.910511363,-0.782833797,-0.325666112,-0.980793197,-0.660524938,-0.71269847,-1.355243425,0.415602128,-0.234483372,2.806708804,2.34211831,-0.753907276,2.114694766,-1.582976467,-1.228618264,2.916262936,-1.755772838,-1.520916226,1.527119779,2.365876426,4
1.106794528,0.898230352,-0.226612921,0.22765144,-1.309518626,-0.243589324,0.047762058,-0.313830293,0.531736059,-0.700532048,0.787897307,-0.903997952,0.265606359,1.761579994,1.568530021,1.096185135,-0.05330624,-0.391026689,-0.443111852,-0.205756923,-0.120588036,0.077867925,-0.1854455,-0.041601034,-0.465114868,-0.975934326,-0.54420297,-0.761019056,-0.988361963,-0.708212744,-1.179351083,0.168393286,2.165162564,2.039250875,1.140073883,0.056745161,-0.599994556,-0.507133522,-0.620246144,-0.437428414,-0.332631282,-0.389351967,0.144493398,-0.472203709,-0.703809633,-0.795472888,-1.004209908,-1.134828848,-0.688576195,-0.635687054,0.326748572,1.228552193,0.946573783,0.980817684,-0.134913181,-0.220709053,-0.365563341,0.245274203,0.239378552,0.45006382,0.029141113,-0.180833351,-0.402733985,-1.123560096,-0.307313407,-0.533342648,-0.834185514,-0.601712885,-1.280881141,1.825275459,1.836113241,1.185060907,-0.424366042,0.239953262,-0.343077687,-1.096474163,-1.049152039,-0.48149618,-0.879471092,0.162162129,-0.63853231,-0.231194049,0.822541357,-0.378009256,-0.87023583,0.615309533,0.858425466,-1.26686814,-0.878226035,4
-0.125338018,0.369980177,-0.896836588,0.323342514,-1.412107102,0.512388686,0.817865926,0.457733413,0.124998228,-1.303521375,1.307866724,-0.797173028,1.080445242,1.015672707,1.254537074,0.718527583,-0.218168276,-0.25586184,0.036103182,-0.262740329,-0.720525911,-0.708523419,-0.724099141,-0.935556384,-0.517427774,0.510791001,-0.124566059,-0.14016366,-0.78709323,-0.891893684,-0.857911958,1.1968879,1.621263512,1.015254325,0.866500218,-0.249453512,-0.623664501,-0.224623106,-0.539099403,-0.596469461,-0.806496822,-0.257337381,-0.943369463,-0.213890239,-0.219059864,-0.043392206,-0.142875,-0.503898849,-0.422900497,-0.812388114,0.910948133,0.411656699,1.380468686,0.559170668,-0.176918106,0.009616268,0.261786366,0.031416346,-0.686698625,-0.456320307,-0.943428008,-0.80283692,-0.701061457,1.025504465,-0.190130806,-0.147803281,-0.951311864,-0.947264498,-1.322390631,0.748900316,0.660680318,2.906587044,1.972550934,0.600144542,-0.969825972,-0.745287308,-1.365079408,-1.3555415,-0.991740531,-0.354824234,-0.942148346,-1.316421565,0.603857918,-0.378009256,-1.065668024,0.275233974,1.15107177,-1.424668122,-1.039624167,5
