max_depth,min_samples_split,pca_components,train_r2,test_r2,train_mae,test_mae
5,2,29,0.8704051909400311,0.10786163577871954,0.7558850735490473,1.8919126806877664
5,5,29,0.8340789591153097,0.24953436833789844,0.8321601398588444,1.8217178037196249
10,2,29,0.9856846978581466,0.2752014158029852,0.21209674232024897,1.7170547245826935
10,5,29,0.9214530156633827,0.26631011923160886,0.3984538588429419,1.8448969174875403
15,2,29,0.9994830878552999,0.07972964866334886,0.019517115620750508,1.8897119558426125
15,5,29,0.9339174014069279,0.21027637512590158,0.2570314984954258,1.9032765889459602
