Feature,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29
total_population,0.06122312190741333,-0.023595857331587006,-0.05866602464678134,-0.0313712977913196,-0.06871724205001248,0.2608387504531229,0.05672813034758898,0.23863199241089636,-0.060525769858275444,0.3042984406538692,0.008374288225942111,-0.2562488094358467,0.27077344097459105,-0.053612178168469485,0.14165266462394935,0.1819971094342563,0.4421988338729324,0.05564115727282742,-0.07380470075600391,0.0023824503111934646,0.2564153338972403,0.08581136231136477,0.17469934208746482,-0.055860960635085936,-0.07835237248858742,0.22965682935380516,0.16151535244802223,-0.08831253182447801,-0.0071656185525762126
population_density,0.07294872620481441,-0.02351674772340498,-0.0872652396855198,-0.003511082596419357,-0.098874366213645,0.2859628460679943,-0.07480262193444787,0.27876096189382443,-0.00487896335813056,0.2947031255498763,-0.06978543226611447,-0.19677736902055004,0.02538245167740712,-0.08234186387167641,0.007246940727734259,0.013055150684480467,-0.013965613021036563,-0.007004840158879986,0.13370654253256198,0.22517478375656938,-0.021319671753897915,0.17335308404634767,-0.25533534797520097,0.06714630486811367,0.0019094037565832306,-0.03089967188396793,-0.2596149714174075,0.27988007024230943,0.18946500350631534
male_percent,-0.07511176868970448,-0.03127139584617847,0.035872928014111516,-0.11012237325429265,0.24973635091284835,-0.14367696353563209,-0.07811868163390168,-0.22081715949720346,-0.12089876581185871,0.015164568263746625,-0.16607970569646507,-0.24223797577608466,0.16222770978264212,0.031950153602912236,-0.02984012730920679,0.2626787449888552,-0.12362665389529046,0.12427458505168104,-0.034354910893644855,0.27345068566545666,0.04762562127991368,-0.07501222483484588,0.21362141569970866,0.06425290747335453,0.355448775149632,0.06802376964619011,-0.2465170620410234,0.1368429089089008,0.0854818337688939
percent_inhouseholds,0.028206387716344067,-0.018623488822125334,0.17208673371438854,-0.20355062458841455,-0.21673343846916793,0.020058573026129234,-0.08815589697855483,0.139876230140461,0.04859951067541862,-0.08641646672362988,0.049613505524892854,0.003479268138607605,0.16358199819745797,0.027481110659021476,-0.0011565967481818352,-0.0970919859866659,-0.04640976205744626,-0.06461619976658006,-0.07991665637602871,0.08265399548356508,0.08475558458601824,-0.06375567991545808,0.0861036787816984,-0.038083273162859324,-0.054020722972441704,-0.037348331786144925,-0.009053015085916855,0.037493213690800255,0.07178465769780756
percent_marriedhouseholds,0.05922635306690778,-0.145484176978539,0.13634983729615122,0.15115315803875956,-0.06672195629915648,-0.036996659070337695,-0.058505964811603375,0.04551178183355409,0.045380680586451616,0.07886618468807091,-0.0688459889767933,-0.0906019163689803,-0.024423018523951803,0.03506530536272412,0.03928157398999207,-0.00488853259492264,-0.040231105347372946,-0.08897545531478919,-0.013536360294955148,0.1145117527798121,-0.05651436416555108,0.036429905751593786,0.08041979012854697,-0.028555668928149786,0.0028758815488994123,-0.10966412093042725,-0.15727116386095052,0.030368758879225202,-0.04144232521322742
percent_cohabitingcouple,-0.12222980792715049,-0.1345864660027315,0.0781241347377819,-0.07650610367811758,-0.05127267822208739,-0.015145559907625283,0.13931350245133786,0.04902788081779101,0.015332657600413899,-0.07214553441741553,-0.04204155283924886,0.0011052853525508333,0.025288035734578218,0.06436881021813996,-0.06282633108026167,-0.019861585835071957,0.020019660295186578,0.11605357313122322,-0.08806949458185122,0.08429581488999117,0.08044938347292137,-0.04124648631252768,0.11497930590283449,-0.01987744538951621,-0.12393269116369075,0.006216099213544671,-0.13534857417575516,-0.025599087589841682,-0.06810290030795695
percent_solomale,0.0015722867335725742,-0.1623575785123611,-0.052195801150696,-0.14216579743486746,0.10375400473697557,0.2077343237871744,0.06023197834468075,-0.031784558114274664,0.019856837164513322,-0.1474888621481805,-0.10297158109975295,-0.02218550192579631,0.1322251662740974,0.0381878525788774,0.07340525168081517,0.22156604877991898,-0.03196650713263602,0.006200288949930997,-0.04406243730991474,-0.06315459463470253,-0.029019111651346123,0.03533597289855896,0.12423239068472966,0.06991089400287824,0.06051585653040778,0.017902684808254285,-0.08134911525129279,-0.10455716033842742,-0.03999399273504562
percent_solofemale,0.07870445038950344,-0.17255841810780365,-0.03370311952173542,-0.05497087777901449,-0.042505816079216,0.21630489902923533,0.07044421062543027,0.07758573952990272,0.04544111151844543,-0.029333005902643428,-0.022601789724600203,0.021269510711084294,0.05720626964396974,-0.0090909656372434,-0.0008848560223553709,0.03012357446365957,-0.07938681204787545,-0.012904885862109063,0.06325091702496788,-0.16141212183522305,-0.046754561365989517,0.06570448744329149,-0.04480558932359302,0.01986096714563022,-0.05637714582980215,-0.022995199786866885,-0.0760439835066698,-0.10992594615814995,0.02484533660304274
percent_occupiedhousingunits,-0.029971010607032413,0.11523558204434121,0.051469958836963155,-0.08400811063977864,-0.11933964857987922,-0.03154828249395314,0.03021547038288469,0.19735432421845134,-0.14861380558458603,0.4188540165483077,0.09897205956538217,-0.0719444782601634,-0.2122481893933365,0.1878863996102879,-0.03158370507184808,-0.1259725110422358,-0.12495854514765889,0.3527282813018177,-0.03296096363346601,0.07042675853378386,-0.06470520804330654,-0.2610155976022344,-0.09609461836884006,0.09456611678641805,0.10308432613230639,-0.23444110418618913,0.028180910966337375,-0.19788377403785862,-0.027855497774550063
percent_owneroccupied,0.08755128397589011,-0.11961963359442718,0.07916495039687048,0.18400346895066183,0.022882757721261637,-0.05812242248188662,-0.07848269447720713,0.19325555432105157,0.015357475563365749,-0.11227580390104176,0.01265256741804488,-0.020534057731346755,0.0537983247460628,0.1273251214750368,-0.041780809797033844,-0.037431561016540285,-0.05192368611288811,0.21987193401309665,0.06426946405114006,0.08471344820247509,-0.007506382529129468,-0.1382752286578619,-0.11265376159834647,0.2770921979576535,-0.09551809430660706,0.09109492616721906,0.25336745621049317,0.24374127732173054,0.07950205809563782
percent_renteroccupied,-0.08488994521887719,0.14245579703551417,-0.04875985226941972,-0.18590043737021894,-0.06192276584256729,0.03802305739583078,0.0772903960627031,-0.09347833581149095,-0.06597616017064402,0.24442635106239308,0.024544480104735596,-0.008232663952555841,-0.12123545314163067,-0.040968701871332704,0.02415905532983057,-0.013163146283702215,-0.0005180890882099387,-0.06067080240484647,-0.06622142773896517,-0.04670752744482091,-0.016695369007833638,0.024190369358693092,0.061243312746167844,-0.20116831364917312,0.11769686136987113,-0.1607570811291562,-0.20471544680815046,-0.27711495224542426,-0.07731343999873233
median_age,0.16819497665718375,-0.0748697097773634,0.08872345878141323,-0.03685269041560107,-0.009661238281544682,-0.08990515665528945,0.034124470628237535,-0.060405658124173894,-0.05420309707187643,0.035646974770713685,0.004622993706384434,0.0033040398333891163,-0.006450864260153233,0.000455564854812969,-0.0005154745805128064,-0.008375573946544076,0.01692985722631059,-0.018972563641008307,-0.09401986118503408,0.14554869643594798,0.001130996147473362,-0.03243600886282205,0.012804600334131777,0.012579334945216916,0.021167647494498454,0.04150805304179994,-0.0666772864213276,0.04875396231441627,-0.02645866909632767
percent_under5,-0.029850887773826683,0.09869241414004916,0.1787707542852444,0.1420083305286901,-0.17658140246436957,0.10198724724481033,-0.0353261088555894,-0.10337730102786827,0.06729521054908962,-0.04009392533631634,-0.12086972850338895,-0.17880020672955743,-0.08378505159704125,0.06334836756060183,0.027716314195548444,0.13018786946807426,0.013680367169196905,-0.0729490503509839,0.0869254402895056,-0.06263882827746936,-0.05719121087852025,0.0841503280930884,-0.10326158235631669,0.07430067953403918,0.17747932342603817,-0.020584204872928336,0.06723123401222264,-0.02141401314465756,-0.09020261584583363
percent_5to9,0.02562574084398386,0.16968779156403851,0.14789305504016098,0.09871776370301477,-0.09119265143114871,0.08391270646194295,-0.10890443224429527,-0.013045784935777793,-0.009600278689039982,-0.008422402485187608,-0.03976767740207167,-0.010524676448556258,0.05443996681636093,0.03402298108737553,-0.03784233340573363,-0.00231544192112278,-0.03409322672166962,0.05046558997850133,-0.06420464759670555,-0.05836063701207521,-0.03368191051391517,-0.09065968335495983,0.10742612425521028,-0.10901340672437147,0.011396972308398076,0.02071727994612224,0.04663234292719762,0.03468833552522863,0.09731322504519643
percent_10to14,0.05063641742619303,0.1944217138891234,0.09535273422119064,0.03733780470947105,-0.06691377577322549,0.06552270134575737,-0.09223884275442715,0.02484331656643532,0.019101337973930876,-0.04261801129524423,0.04808175514720988,0.005647582436689724,0.1326570257926373,-0.029421901751897336,-0.10259082606637684,-0.07977611351416666,-0.06599090356110188,0.04814572686555032,-0.06615649698819173,0.023346119578812198,0.0016613128736664984,-0.022741431228912576,0.10807427488743576,-0.0897552501103854,-0.0653614810611394,0.07382400735505207,-0.11781376224821677,-0.016364087563764618,0.018706261406458268
percent_15to19,0.00912713273349356,0.10716179947781794,-0.1374252943469333,0.21793408841003392,0.09282330190285501,-0.017482527040399393,0.22910618983336623,0.15675712719771734,-0.21133740437227466,-0.05072803869413717,-0.19756370850832108,0.08434911547573903,-0.015346139225106442,-0.05144883599164227,-0.020963483354524554,-0.0023239706887701744,-0.006449496012647105,-0.03381608360653993,0.04287961611410085,-0.01919147328655552,0.0643250927379343,-0.03231519285945113,0.004931545314030641,-0.031552316113833336,0.04109986782775762,-0.018189467431801443,-0.03398429504296163,-0.02914845512794499,0.012959196115300883
percent_20to24,-0.05258607090387261,0.03383281416062789,-0.22792347069476857,0.10136345587946895,0.0900701405263588,0.018316559486031034,-0.12656994774691205,-0.06866929777082853,0.19848842112516007,0.07323500065148503,0.19253862030627059,0.05574505808502366,-0.03259794593006382,0.05267212433737001,0.15661973187143047,0.05080780925098982,-0.007052490068906264,0.07342302069188297,0.0031277350558968076,0.03871442111503737,-0.07423815147119878,0.02830424328792748,0.03563140877366125,0.0012370147796658612,-0.03887215947161353,0.05751882624711058,-0.024479373516637093,0.0049710378239924,0.0009162001254712634
