GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
1400000US13015960104,Census Tract 9601.04; Bartow County; Georgia,100036632,46511,38.624,0.018,34.2881623,-84.7104381
1400000US13015960105,Census Tract 9601.05; Bartow County; Georgia,75624073,74465,29.199,0.029,34.3161083,-84.8097751
1400000US13015960201,Census Tract 9602.01; Bartow County; Georgia,77056635,213115,29.752,0.082,34.3530782,-84.8718663
1400000US13015960202,Census Tract 9602.02; Bartow County; Georgia,10384952,0,4.01,0,34.3748267,-84.922252
1400000US13015960203,Census Tract 9602.03; Bartow County; Georgia,88374467,72170,34.122,0.028,34.3366971,-84.9698958
1400000US13015960301,Census Tract 9603.01; Bartow County; Georgia,85904321,107255,33.168,0.041,34.2743203,-84.9361539
1400000US13015960302,Census Tract 9603.02; Bartow County; Georgia,71871100,637137,27.75,0.246,34.2236051,-84.9553453
1400000US13015960403,Census Tract 9604.03; Bartow County; Georgia,7954387,0,3.071,0,34.2116672,-84.7995675
1400000US13015960404,Census Tract 9604.04; Bartow County; Georgia,9455702,0,3.651,0,34.2243348,-84.8411065
1400000US13015960405,Census Tract 9604.05; Bartow County; Georgia,18926097,0,7.307,0,34.2129822,-84.7666648
1400000US13015960406,Census Tract 9604.06; Bartow County; Georgia,12855996,0,4.964,0,34.2473607,-84.8311706
1400000US13015960407,Census Tract 9604.07; Bartow County; Georgia,19804833,422945,7.647,0.163,34.2488504,-84.7898649
1400000US13015960501,Census Tract 9605.01; Bartow County; Georgia,7534014,0,2.909,0,34.1973693,-84.8188041
1400000US13015960502,Census Tract 9605.02; Bartow County; Georgia,16660500,0,6.433,0,34.2003575,-84.8561492
1400000US13015960601,Census Tract 9606.01; Bartow County; Georgia,16888502,346055,6.521,0.134,34.1403888,-84.8111271
1400000US13015960602,Census Tract 9606.02; Bartow County; Georgia,7597226,0,2.933,0,34.1686156,-84.8150178
1400000US13015960701,Census Tract 9607.01; Bartow County; Georgia,5166646,0,1.995,0,34.1809708,-84.7940453
1400000US13015960702,Census Tract 9607.02; Bartow County; Georgia,60506674,7424607,23.362,2.867,34.1919453,-84.7054401
1400000US13015960801,Census Tract 9608.01; Bartow County; Georgia,19442871,4684977,7.507,1.809,34.1222127,-84.674982
1400000US13015960802,Census Tract 9608.02; Bartow County; Georgia,13856691,4258630,5.35,1.644,34.1106699,-84.6975654
1400000US13015960804,Census Tract 9608.04; Bartow County; Georgia,48007407,177187,18.536,0.068,34.1038105,-84.7896947
1400000US13015960805,Census Tract 9608.05; Bartow County; Georgia,29212777,5200137,11.279,2.008,34.1325543,-84.7319476
1400000US13015960901,Census Tract 9609.01; Bartow County; Georgia,33413140,737846,12.901,0.285,34.1225065,-84.8725548
