Grid ID,Min Lat,Max Lat,Min Long,Max Long,NAMELSAD,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,total_population,"Ride Count (Average, NYC Norm)","Ride Count (Model 1, NYC Norm)","Ride Count (Model 2, NYC Norm)","Ride Count (Average, ATL Norm)","Ride Count (Model 1, ATL Norm)","Ride Count (Model 2, ATL Norm)"
19,33.7,33.70276596,-84.37454545,-84.37090909,0,103241.0958,192.4887571,0.03985294,7.08E-05,67.78305184,24521.568,30284.44,18758.697,26340.475,37242.59,15438.358
20,33.7,33.70276596,-84.37090909,-84.36727273,0,103241.0958,192.4887571,0.03985294,7.08E-05,67.78305184,24521.568,30284.44,18758.697,26340.475,37242.59,15438.358
21,33.7,33.70276596,-84.36727273,-84.36363636,0,103256.0115,176.5237905,0.039856492,6.50E-05,78.51678151,24135.684,29706.541,18564.824,27069.637,39489.508,14649.767
22,33.7,33.70276596,-84.36363636,-84.36,0,103399.6746,22.75481064,0.039890702,8.37E-06,181.9003148,43418.742,69144.92,17692.564,12015.306,22270.234,1760.3771
23,33.7,33.70276596,-84.36,-84.35636364,0,103425.5398,0,0.039924313,0,145.3413603,33991.195,50164.793,17817.602,15612.002,28394.62,2829.3843
24,33.7,33.70276596,-84.35636364,-84.35272727,0,103429.9001,0,0.03995134,0,96.24833897,24125.41,29588.041,18662.781,21590.604,29188.928,13992.278
25,33.7,33.70276596,-84.35272727,-84.34909091,0,103357.4169,72.65979325,0.039921674,2.77E-05,85.83458014,24174.453,29690.736,18658.172,24159.035,33726.58,14591.494
26,33.7,33.70276596,-84.34909091,-84.34545455,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
27,33.7,33.70276596,-84.34545455,-84.34181818,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
28,33.7,33.70276596,-84.34181818,-84.33818182,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
29,33.7,33.70276596,-84.33818182,-84.33454545,0,102760.9377,666.1342457,0.039676599,0.000253406,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
