date,station,lon,lat,tmpf,relh,sped,vsby
2019-01-01,jrb,-74.009,40.7012,55.952,71.75953333333334,9.491333333333333,7.013333333333334
2019-01-01,nyc,-73.9693,40.779,49.75238095238095,85.64095238095238,0.0,5.904761904761905
2019-01-02,jrb,-74.009,40.7012,46.303030303030305,62.05848484848485,5.087878787878788,9.848484848484848
2019-01-02,nyc,-73.9693,40.779,38.470588235294116,54.428823529411765,0.0,9.941176470588236
2019-01-03,jrb,-74.009,40.7012,46.231818181818184,69.74818181818182,6.194318181818182,9.954545454545455
2019-01-03,nyc,-73.9693,40.779,41.36551724137931,67.12448275862069,0.0,9.89655172413793
2019-01-04,jrb,-74.009,40.7012,48.38461538461539,68.19974358974359,8.816666666666666,10.0
2019-01-04,nyc,-73.9693,40.779,40.625,58.9125,0.0,9.875
2019-01-05,jrb,-74.009,40.7012,54.47672955974842,73.76207547169811,9.952201257861637,6.943396226415095
2019-01-05,nyc,-73.9693,40.779,43.96923076923077,92.12769230769231,0.0,4.55
2019-01-06,jrb,-74.009,40.7012,47.93142857142857,67.09028571428571,5.9471428571428575,10.0
2019-01-06,nyc,-73.9693,40.779,43.8,58.864,0.0,10.0
2019-01-07,jrb,-74.009,40.7012,41.25675675675676,55.33135135135135,6.216216216216216,9.945945945945946
2019-01-07,nyc,-73.9693,40.779,29.678260869565218,39.711304347826086,0.0,10.0
2019-01-08,jrb,-74.009,40.7012,48.067647058823525,76.68191176470589,3.4330882352941177,8.610294117647058
2019-01-08,nyc,-73.9693,40.779,38.644444444444446,77.09185185185186,0.0,6.851851851851852
2019-01-09,jrb,-74.009,40.7012,51.03125,70.2415625,6.70234375,8.796875
2019-01-09,nyc,-73.9693,40.779,42.5875,74.590625,0.0,7.0859375
2019-01-10,jrb,-74.009,40.7012,45.078947368421055,59.73131578947368,6.567105263157895,10.0
2019-01-10,nyc,-73.9693,40.779,33.2,49.80571428571428,0.0,10.0
2019-01-11,jrb,-74.009,40.7012,40.75,61.19475,5.43375,9.9
2019-01-11,nyc,-73.9693,40.779,26.947619047619046,42.37809523809524,0.0,10.0
2019-01-12,jrb,-74.009,40.7012,38.24594594594594,56.05135135135136,5.8432432432432435,10.0
2019-01-12,nyc,-73.9693,40.779,25.552380952380954,41.951904761904764,0.0,10.0
2019-01-13,jrb,-74.009,40.7012,44.701851851851856,64.2237037037037,8.539814814814815,9.61111111111111
2019-01-13,nyc,-73.9693,40.779,28.983333333333334,44.898888888888884,0.0,9.61111111111111
2019-01-14,jrb,-74.009,40.7012,42.43695652173913,65.81782608695652,9.8,9.891304347826088
2019-01-14,nyc,-73.9693,40.779,26.4,52.873636363636365,0.0,10.0
2019-01-15,jrb,-74.009,40.7012,39.61034482758621,57.69,5.353448275862069,10.0
2019-01-15,nyc,-73.9693,40.779,29.90526315789474,47.61052631578948,0.0,9.947368421052632
2019-01-16,jrb,-74.009,40.7012,43.22380952380953,67.5604761904762,9.172619047619047,10.0
2019-01-16,nyc,-73.9693,40.779,34.485,57.64,0.0,8.9
2019-01-17,jrb,-74.009,40.7012,45.03404255319149,60.470425531914884,6.214893617021277,10.0
2019-01-17,nyc,-73.9693,40.779,30.291304347826088,42.805217391304346,0.0,10.0
2019-01-18,jrb,-74.009,40.7012,47.14567901234568,75.02555555555556,6.8432098765432094,9.135802469135802
2019-01-18,nyc,-73.9693,40.779,32.50217391304348,80.71826086956521,0.0,4.739130434782608
2019-01-19,jrb,-74.009,40.7012,44.46341463414634,68.73585365853658,7.404878048780488,10.0
2019-01-19,nyc,-73.9693,40.779,35.294117647058826,62.58764705882353,0.0,9.764705882352942
2019-01-20,jrb,-74.009,40.7012,52.8625,73.70619318181818,14.185511363636364,8.159090909090908
2019-01-20,nyc,-73.9693,40.779,35.158181818181816,88.61490909090908,0.0,4.295454545454546
2019-01-21,jrb,-74.009,40.7012,28.98,62.82971428571428,6.21,9.942857142857143
2019-01-21,nyc,-73.9693,40.779,10.91304347826087,48.00260869565217,0.0,10.0
2019-01-22,jrb,-74.009,40.7012,34.41891891891892,59.59891891891891,6.371621621621622,10.0
2019-01-22,nyc,-73.9693,40.779,19.029411764705884,42.14,0.0,10.0
2019-01-23,jrb,-74.009,40.7012,43.635000000000005,62.935500000000005,7.10125,9.9
2019-01-23,nyc,-73.9693,40.779,35.67307692307692,45.393846153846155,0.0,10.0
2019-01-24,jrb,-74.009,40.7012,55.5709090909091,75.10169696969696,7.555151515151515,7.53030303030303
2019-01-24,nyc,-73.9693,40.779,53.23103448275862,88.24155172413793,0.0,4.943965517241379
2019-01-25,jrb,-74.009,40.7012,47.285714285714285,61.61714285714285,11.781632653061223,10.0
2019-01-25,nyc,-73.9693,40.779,36.26315789473684,46.55789473684211,0.0,10.0
2019-01-26,jrb,-74.009,40.7012,40.28285714285715,52.991142857142854,8.871428571428572,9.942857142857143
2019-01-26,nyc,-73.9693,40.779,29.27368421052632,32.5521052631579,0.0,10.0
2019-01-27,jrb,-74.009,40.7012,46.016216216216215,64.24864864864864,7.73918918918919,10.0
2019-01-27,nyc,-73.9693,40.779,39.125,52.392500000000005,0.0,10.0
2019-01-28,jrb,-74.009,40.7012,43.52439024390244,59.06073170731707,6.8999999999999995,10.0
2019-01-28,nyc,-73.9693,40.779,32.15909090909091,44.779545454545456,0.0,10.0
2019-01-29,jrb,-74.009,40.70119999999999,44.30727272727273,72.07927272727272,7.548181818181819,9.527272727272727
2019-01-29,nyc,-73.9693,40.779,35.584375,70.2575,0.0,9.34375
