station,date,lon,lat,tmpf,relh,sped,p01i,vsby,weather_class
nyc,2019-03-22,-73.9693,40.779,48.0,42.17,10.35,0.0,10.0,bad
jrb,2019-03-22,-74.009,40.7012,50.0,43.92,4.6,0.01,10.0,good
jrb,2019-03-22,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
nyc,2019-03-22,-73.9693,40.779,47.0,45.62,10.35,0.0,10.0,bad
jrb,2019-03-22,-74.009,40.7012,47.0,49.32,9.2,0.0,10.0,bad
nyc,2019-03-22,-73.9693,40.779,44.0,54.85,9.2,0.0,10.0,bad
jrb,2019-03-22,-74.009,40.7012,45.0,57.5,8.05,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
nyc,2019-03-23,-73.9693,40.779,44.0,52.86,12.65,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,43.0,59.83,5.75,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,2.3,0.0,10.0,good
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,12.65,0.0,10.0,good
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,11.5,0.0,10.0,good
nyc,2019-03-23,-73.9693,40.779,43.0,55.14,14.95,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,42.0,64.25,11.5,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,14.95,0.0,10.0,good
nyc,2019-03-23,-73.9693,40.779,41.0,64.63,4.6,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,41.0,67.03,4.6,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,40.0,59.65,17.25,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,41.0,61.79,5.75,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,38.0,67.2,14.95,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,40.0,64.49,5.75,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,37.0,59.24,13.8,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,38.0,59.36,8.05,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,36.0,56.18,12.65,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,37.0,56.57,3.45,,10.0,bad
nyc,2019-03-23,-73.9693,40.779,35.0,56.05,14.95,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,36.0,56.18,8.05,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,35.0,53.49,9.2,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,36.0,54.08,4.6,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
nyc,2019-03-23,-73.9693,40.779,35.0,51.47,12.65,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,35.0,53.49,0.0,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,36.0,58.85,5.75,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,35.0,56.05,11.5,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,37.0,59.24,3.45,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,36.0,54.08,8.05,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,38.0,57.18,4.6,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,37.0,51.99,12.65,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,39.0,54.77,5.75,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,4.6,0.0,9.0,good
jrb,2019-03-23,-74.009,40.7012,57.0,69.52,2.3,0.0,9.0,good
nyc,2019-03-23,-73.9693,40.779,38.0,47.89,8.05,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,40.0,52.88,3.45,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,41.0,44.47,4.6,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,43.0,46.91,4.6,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,43.0,41.17,14.95,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,47.0,40.44,6.9,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,46.0,35.04,11.5,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,49.0,35.83,3.45,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,47.0,32.59,9.2,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,50.0,32.83,5.75,0.0,10.0,good
nyc,2019-03-23,-73.9693,40.779,47.0,30.04,10.35,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,52.0,26.95,8.05,0.0,10.0,good
nyc,2019-03-23,-73.9693,40.779,48.0,21.96,12.65,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,51.0,24.48,4.6,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,47.0,21.99,10.35,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,51.0,21.37,4.6,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,46.0,18.14,11.5,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,48.0,23.99,6.9,0.0,10.0,bad
nyc,2019-03-23,-73.9693,40.779,45.0,21.69,10.35,0.0,10.0,bad
jrb,2019-03-23,-74.009,40.7012,46.0,24.86,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,44.0,24.45,8.05,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,44.0,30.63,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,2.3,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,43.0,24.39,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,43.0,36.22,3.45,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,42.0,25.24,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,42.0,34.39,5.75,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,42.0,26.4,5.75,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,42.0,36.07,0.0,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,41.0,27.55,5.75,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,41.0,35.88,3.45,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,40.0,28.75,8.05,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,41.0,32.88,0.0,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,39.0,29.77,0.0,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,40.0,36.01,6.9,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,39.0,29.77,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,39.0,35.54,5.75,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,39.0,30.99,6.9,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,39.0,37.29,5.75,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,39.0,30.99,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,38.0,33.98,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,38.0,40.49,8.05,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,38.0,33.98,6.9,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,39.0,38.78,8.05,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,11.5,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,41.0,30.11,0.0,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,42.0,36.07,10.35,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,12.65,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,43.0,26.55,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,45.0,32.28,6.9,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,47.0,24.03,6.9,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,48.0,29.96,10.35,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,52.0,18.92,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,49.0,34.2,10.35,0.0,10.0,bad
nyc,2019-03-24,-73.9693,40.779,55.0,14.96,0.0,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,53.0,30.67,8.05,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,58.0,13.47,0.0,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,55.0,29.96,11.5,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,58.0,16.03,4.6,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,56.0,25.45,12.65,0.0,10.0,good
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,14.95,0.0,10.0,good
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,16.1,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,60.0,17.66,0.0,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,58.0,25.76,12.65,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,60.0,17.66,6.9,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,27.86,10.35,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,60.0,19.25,3.45,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,28.93,13.8,0.0,10.0,good
jrb,2019-03-24,-74.009,40.7012,57.0,69.52,18.4,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,59.0,20.02,5.75,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,25.4,14.95,0.0,10.0,good
nyc,2019-03-24,-73.9693,40.779,58.0,20.83,6.9,0.0,10.0,bad
jrb,2019-03-24,-74.009,40.7012,57.0,25.4,10.35,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,11.5,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,58.0,20.83,0.0,0.0,10.0,bad
jrb,2019-03-25,-74.009,40.7012,56.0,27.69,6.9,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,57.0,22.46,3.45,0.0,10.0,bad
jrb,2019-03-25,-74.009,40.7012,55.0,32.56,8.05,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,57.0,23.34,3.45,0.0,10.0,bad
jrb,2019-03-25,-74.009,40.7012,54.0,32.26,9.2,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,56.0,25.45,0.0,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,54.0,33.77,11.5,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,12.65,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,57.0,23.34,4.6,0.0,10.0,bad
jrb,2019-03-25,-74.009,40.7012,53.0,37.74,6.9,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,56.0,25.45,3.45,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,53.0,36.22,8.05,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,56.0,35.36,3.45,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,52.0,40.78,10.35,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,55.0,39.63,6.9,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,52.0,40.78,6.9,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,2.3,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,54.0,42.98,5.75,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,52.0,48.34,0.0,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,53.0,30.67,5.75,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,53.0,36.22,4.6,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,51.0,34.57,3.45,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,51.0,40.63,0.0,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,14.95,0.01,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,0.0,0.01,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,2.3,0.01,10.0,good
nyc,2019-03-25,-73.9693,40.779,52.0,34.72,3.45,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,51.0,40.63,3.45,0.01,10.0,good
nyc,2019-03-25,-73.9693,40.779,51.0,37.57,5.75,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,51.0,40.63,3.45,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,5.75,0.01,10.0,good
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,4.6,0.01,10.0,good
nyc,2019-03-25,-73.9693,40.779,50.0,40.62,5.75,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,50.0,45.93,5.75,0.01,10.0,good
nyc,2019-03-25,-73.9693,40.779,49.0,42.32,9.2,0.0,10.0,bad
jrb,2019-03-25,-74.009,40.7012,57.0,69.52,4.6,0.0,9.0,good
jrb,2019-03-25,-74.009,40.7012,49.0,49.63,6.9,0.0,9.0,bad
nyc,2019-03-25,-73.9693,40.779,48.0,45.61,6.9,0.0,10.0,bad
jrb,2019-03-25,-74.009,40.7012,48.0,56.1,5.75,,10.0,bad
nyc,2019-03-25,-73.9693,40.779,50.0,42.33,0.0,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,49.0,49.63,4.6,0.0,10.0,bad
nyc,2019-03-25,-73.9693,40.779,51.0,40.63,0.0,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,49.0,51.89,3.45,0.0,10.0,bad
nyc,2019-03-25,-73.9693,40.779,50.0,42.33,6.9,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,50.0,47.64,5.75,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,51.0,38.99,0.0,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,49.0,47.85,6.9,0.0,10.0,bad
nyc,2019-03-25,-73.9693,40.779,50.0,42.33,4.6,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,50.0,43.92,9.2,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,50.0,37.39,0.0,0.0,10.0,good
jrb,2019-03-25,-74.009,40.7012,50.0,37.39,4.6,0.0,10.0,good
nyc,2019-03-25,-73.9693,40.779,49.0,40.77,0.0,0.0,10.0,bad
jrb,2019-03-25,-74.009,40.7012,49.0,38.95,6.9,0.0,10.0,bad
nyc,2019-03-25,-73.9693,40.779,48.0,43.77,0.0,,10.0,bad
jrb,2019-03-25,-74.009,40.7012,47.0,47.54,5.75,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,2.3,0.0,10.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,47.0,40.44,0.0,,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,48.0,34.05,4.6,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,46.0,47.2,4.6,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,47.0,16.67,0.0,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,46.0,31.07,0.0,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,45.0,17.92,6.9,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,46.0,24.86,8.05,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,42.0,18.25,6.9,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,44.0,24.45,8.05,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,39.0,22.58,8.05,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,11.5,0.0,10.0,good
jrb,2019-03-26,-74.009,40.7012,41.0,31.33,8.05,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,38.0,26.07,8.05,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,40.0,39.27,8.05,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,12.65,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,36.0,28.1,6.9,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,14.95,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,34.0,26.39,6.9,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,37.0,32.2,10.35,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,16.1,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,34.0,30.42,10.35,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,36.0,38.1,13.8,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,33.0,32.85,9.2,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,35.0,34.72,5.75,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,34.0,33.31,9.2,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,36.0,34.87,12.65,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,18.4,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,36.0,28.1,11.5,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,39.0,32.54,13.8,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,17.25,0.0,10.0,good
nyc,2019-03-26,-73.9693,40.779,38.0,24.79,8.05,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,41.0,32.88,10.35,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,20.7,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,42.0,20.02,8.05,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,43.0,31.94,19.55,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,44.0,17.79,9.2,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,45.0,28.2,5.75,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,14.95,0.01,10.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,10.35,0.01,10.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,0.0,0.01,10.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,2.3,0.01,10.0,good
nyc,2019-03-26,-73.9693,40.779,45.0,13.6,8.05,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,5.75,0.01,10.0,good
jrb,2019-03-26,-74.009,40.7012,46.0,28.49,6.9,0.01,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,9.2,0.0,8.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,2.3,0.0,8.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,5.75,0.0,8.0,good
nyc,2019-03-26,-73.9693,40.779,46.0,15.73,11.5,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,9.2,0.0,9.0,good
jrb,2019-03-26,-74.009,40.7012,47.0,31.22,9.2,,10.0,bad
nyc,2019-03-26,-73.9693,40.779,48.0,14.58,10.35,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,49.0,23.2,5.75,,10.0,bad
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,12.65,0.0,9.0,good
jrb,2019-03-26,-74.009,40.7012,57.0,69.52,0.0,0.0,9.0,good
nyc,2019-03-26,-73.9693,40.779,48.0,13.98,5.75,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,50.0,20.38,5.75,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,48.0,14.58,6.9,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,51.0,19.56,3.45,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,52.0,18.92,4.6,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,46.0,15.08,6.9,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,49.0,18.73,8.05,0.0,10.0,bad
nyc,2019-03-26,-73.9693,40.779,45.0,15.66,3.45,0.0,10.0,bad
jrb,2019-03-26,-74.009,40.7012,46.0,19.87,4.6,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,2.3,0.0,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
nyc,2019-03-27,-73.9693,40.779,44.0,16.9,6.9,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,44.0,27.81,6.9,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,42.0,18.25,6.9,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,43.0,25.5,0.0,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,41.0,20.04,5.75,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,41.0,26.34,4.6,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
nyc,2019-03-27,-73.9693,40.779,40.0,20.91,9.2,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,41.0,31.33,3.45,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
nyc,2019-03-27,-73.9693,40.779,38.0,23.57,5.75,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,40.0,32.7,5.75,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,37.0,25.69,0.0,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,38.0,32.36,0.0,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,36.0,29.27,5.75,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,38.0,37.1,6.9,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,11.5,0.0,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,12.65,0.0,10.0,good
nyc,2019-03-27,-73.9693,40.779,36.0,33.5,9.2,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,38.0,46.08,8.05,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,14.95,0.0,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,12.65,,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,11.5,,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,8.05,,10.0,bad
nyc,2019-03-27,-73.9693,40.779,35.0,30.33,8.05,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,10.35,,10.0,bad
jrb,2019-03-27,-74.009,40.7012,37.0,41.95,10.35,,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,9.2,,10.0,bad
nyc,2019-03-27,-73.9693,40.779,35.0,31.88,6.9,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,37.0,38.44,11.5,,10.0,bad
nyc,2019-03-27,-73.9693,40.779,34.0,31.69,9.2,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,36.0,36.62,10.35,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,35.0,30.33,5.75,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,36.0,38.1,13.8,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,37.0,28.14,0.0,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,38.0,37.1,9.2,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,38.0,28.54,8.05,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,41.0,37.63,6.9,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,40.0,28.75,0.0,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,42.0,37.49,4.6,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,41.0,27.55,5.75,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,44.0,34.72,4.6,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,45.0,25.82,0.0,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,45.0,36.4,11.5,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,11.5,0.01,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,9.2,0.01,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,10.35,0.01,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,8.05,0.01,10.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,5.75,0.01,10.0,good
nyc,2019-03-27,-73.9693,40.779,45.0,26.87,6.9,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,44.0,39.47,10.35,0.01,10.0,bad
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,9.2,0.0,8.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,5.75,0.0,8.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,2.3,0.0,9.0,good
jrb,2019-03-27,-74.009,40.7012,57.0,69.52,5.75,0.0,9.0,good
nyc,2019-03-27,-73.9693,40.779,44.0,31.85,0.0,0.0,10.0,bad
jrb,2019-03-27,-74.009,40.7012,45.0,41.5,9.2,0.0,10.0,bad
nyc,2019-03-27,-73.9693,40.779,44.0,33.4,3.45,0.0,10.0,bad
