station,date,lon,lat,tmpf,relh,sped,p01i,vsby,weather_class
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.05,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.06,5.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.08,6.0,bad
nyc,2019-01-01,-73.9693,40.779,47.0,96.66,0.0,0.07,2.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,11.5,0.1,7.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.1,8.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.11,8.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,3.45,0.12,8.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,3.45,0.13,7.0,bad
nyc,2019-01-01,-73.9693,40.779,47.0,96.66,0.0,0.14,2.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,0.0,0.14,7.0,bad
jrb,2019-01-01,-74.009,40.7012,49.0,96.69,3.45,0.15,7.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,3.45,0.0,8.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.01,10.0,good
nyc,2019-01-01,-73.9693,40.779,48.0,92.74,0.0,0.04,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,0.0,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,3.45,0.02,10.0,bad
nyc,2019-01-01,-73.9693,40.779,47.0,96.66,0.0,0.06,2.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.03,10.0,bad
nyc,2019-01-01,-73.9693,40.779,46.4,100.0,0.0,0.06,4.0,bad
nyc,2019-01-01,-73.9693,40.779,47.0,96.66,0.0,0.06,3.0,bad
jrb,2019-01-01,-74.009,40.7012,50.0,95.98,4.6,0.03,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.03,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.03,9.0,bad
nyc,2019-01-01,-73.9693,40.779,50.0,95.98,0.0,0.02,8.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.03,9.0,bad
jrb,2019-01-01,-74.009,40.7012,50.0,95.98,5.75,0.03,9.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.0,9.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.0,7.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.0,6.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.0,6.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.0,5.0,good
jrb,2019-01-01,-74.009,40.7012,50.0,93.5,6.9,,5.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.0,5.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.0,4.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.0,5.0,good
nyc,2019-01-01,-73.9693,40.779,52.0,96.73,0.0,0.0,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.0,6.0,good
jrb,2019-01-01,-74.009,40.7012,51.0,100.0,9.2,,6.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.0,6.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,11.5,0.0,5.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.0,4.0,good
nyc,2019-01-01,-73.9693,40.779,50.0,95.98,0.0,,2.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.0,4.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.0,3.5,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.0,3.5,good
nyc,2019-01-01,-73.9693,40.779,50.0,95.98,0.0,,1.75,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.0,3.5,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.0,3.5,good
nyc,2019-01-01,-73.9693,40.779,50.0,95.98,0.0,0.01,2.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.0,4.0,good
nyc,2019-01-01,-73.9693,40.779,51.0,96.0,0.0,0.01,2.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.0,3.5,good
jrb,2019-01-01,-74.009,40.7012,50.0,95.98,13.8,0.0,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.0,3.0,good
nyc,2019-01-01,-73.9693,40.779,51.0,96.0,0.0,0.0,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.0,3.5,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.0,4.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.0,5.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.0,6.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.0,7.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.0,8.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.0,9.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,53.0,96.03,0.0,0.0,6.0,bad
jrb,2019-01-01,-74.009,40.7012,53.0,96.03,12.65,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,53.6,100.0,12.65,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,11.5,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,54.0,96.76,0.0,0.0,8.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,16.1,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,17.25,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,53.6,100.0,17.25,0.0,10.0,bad
nyc,2019-01-01,-73.9693,40.779,53.6,100.0,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,19.55,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,54.0,96.76,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,18.4,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,54.0,96.76,17.25,0.0,10.0,bad
nyc,2019-01-01,-73.9693,40.779,55.0,93.29,0.0,0.0,10.0,bad
nyc,2019-01-01,-73.9693,40.779,56.0,90.29,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,20.7,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,53.6,93.6,20.7,0.0,10.0,bad
nyc,2019-01-01,-73.9693,40.779,57.0,86.77,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,55.0,93.29,18.4,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,14.95,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,57.0,83.33,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,55.0,89.59,12.65,0.0,10.0,bad
nyc,2019-01-01,-73.9693,40.779,58.0,78.03,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,83.33,16.1,0.0,10.0,bad
nyc,2019-01-01,-73.9693,40.779,58.0,66.7,0.0,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,74.27,13.8,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,18.4,0.01,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.01,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.01,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.01,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,16.1,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.02,10.0,bad
nyc,2019-01-01,-73.9693,40.779,58.0,59.98,0.0,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,66.59,10.35,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,3.45,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,56.0,50.71,0.0,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,50.88,8.05,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,55.0,46.91,0.0,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,47.04,6.9,0.02,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,51.0,54.13,0.0,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,47.04,8.05,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,49.0,51.89,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,52.0,52.36,8.05,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,47.0,51.58,0.0,0.0,10.0,bad
