station,date,lon,lat,tmpf,relh,sped,p01i,vsby
jrb,1/1/2019,-74.009,40.7012,50,95.98,13.8,0,3
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0,3
nyc,1/1/2019,-73.9693,40.779,51,96,0,0,4
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0,3.5
jrb,1/1/2019,-74.009,40.7012,57,69.52,12.65,0,4
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0,5
jrb,1/1/2019,-74.009,40.7012,57,69.52,12.65,0,6
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0,7
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0,8
jrb,1/1/2019,-74.009,40.7012,57,69.52,12.65,0,9
jrb,1/1/2019,-74.009,40.7012,57,69.52,12.65,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0,10
nyc,1/1/2019,-73.9693,40.779,53,96.03,0,0,6
jrb,1/1/2019,-74.009,40.7012,53,96.03,12.65,0,10
jrb,1/1/2019,-74.009,40.7012,53.6,100,12.65,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,11.5,0,10
nyc,1/1/2019,-73.9693,40.779,54,96.76,0,0,8
jrb,1/1/2019,-74.009,40.7012,57,69.52,16.1,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,17.25,0,10
jrb,1/1/2019,-74.009,40.7012,53.6,100,17.25,0,10
nyc,1/1/2019,-73.9693,40.779,53.6,100,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,19.55,0,10
nyc,1/1/2019,-73.9693,40.779,54,96.76,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,18.4,0,10
jrb,1/1/2019,-74.009,40.7012,54,96.76,17.25,0,10
nyc,1/1/2019,-73.9693,40.779,55,93.29,0,0,10
nyc,1/1/2019,-73.9693,40.779,56,90.29,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,20.7,0,10
jrb,1/1/2019,-74.009,40.7012,53.6,93.6,20.7,0,10
nyc,1/1/2019,-73.9693,40.779,57,86.77,0,0,10
jrb,1/1/2019,-74.009,40.7012,55,93.29,18.4,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,14.95,0,10
nyc,1/1/2019,-73.9693,40.779,57,83.33,0,0,10
jrb,1/1/2019,-74.009,40.7012,55,89.59,12.65,0,10
nyc,1/1/2019,-73.9693,40.779,58,78.03,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,83.33,16.1,0,10
nyc,1/1/2019,-73.9693,40.779,58,66.7,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,74.27,13.8,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,18.4,0.01,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,9.2,0.01,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,10.35,0.01,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,8.05,0.01,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,9.2,0.02,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,16.1,0.02,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0.02,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,6.9,0.02,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,4.6,0.02,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,8.05,0.02,10
nyc,1/1/2019,-73.9693,40.779,58,59.98,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,66.59,10.35,0.02,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,5.75,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,10.35,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,6.9,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,3.45,0,10
nyc,1/1/2019,-73.9693,40.779,56,50.71,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,50.88,8.05,0,10
nyc,1/1/2019,-73.9693,40.779,55,46.91,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,47.04,6.9,0.02,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,9.2,0,10
nyc,1/1/2019,-73.9693,40.779,51,54.13,0,0,10
jrb,1/1/2019,-74.009,40.7012,57,47.04,8.05,0,10
nyc,1/1/2019,-73.9693,40.779,49,51.89,0,0,10
jrb,1/1/2019,-74.009,40.7012,52,52.36,8.05,0,10
nyc,1/1/2019,-73.9693,40.779,47,51.58,0,0,10
jrb,1/1/2019,-74.009,40.7012,49,54.24,5.75,0,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,13.8,0.01,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,3.45,0.01,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,6.9,0.01,10
nyc,1/1/2019,-73.9693,40.779,45,53,0,0,10
jrb,1/1/2019,-74.009,40.7012,47,55.94,4.6,0.01,10
jrb,1/1/2019,-74.009,40.7012,57,69.52,0,0,10
nyc,1/1/2019,-73.9693,40.779,44,57.37,0,0,10
jrb,1/1/2019,-74.009,40.7012,46,57.87,4.6,0,10
jrb,1/1/2019,-74.009,40.7012,45,60.11,3.45,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,4.6,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,3.45,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,0,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,5.75,0,10
nyc,1/2/2019,-73.9693,40.779,43,59.83,0,0,10
jrb,1/2/2019,-74.009,40.7012,45,60.11,0,0,10
nyc,1/2/2019,-73.9693,40.779,43,52.91,0,0,10
jrb,1/2/2019,-74.009,40.7012,44,57.37,3.45,0,10
nyc,1/2/2019,-73.9693,40.779,42,52.78,0,0,10
jrb,1/2/2019,-74.009,40.7012,44,54.85,0,0,10
nyc,1/2/2019,-73.9693,40.779,41,52.61,0,0,10
jrb,1/2/2019,-74.009,40.7012,43,50.98,3.45,0,10
nyc,1/2/2019,-73.9693,40.779,40,57.47,0,0,10
jrb,1/2/2019,-74.009,40.7012,41,52.61,3.45,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,6.9,0,10
nyc,1/2/2019,-73.9693,40.779,38,59.36,0,0,10
jrb,1/2/2019,-74.009,40.7012,40,54.9,4.6,0,10
jrb,1/2/2019,-74.009,40.7012,40,54.9,5.75,0,10
nyc,1/2/2019,-73.9693,40.779,37,56.57,0,0,10
jrb,1/2/2019,-74.009,40.7012,39,59.52,3.45,0,10
nyc,1/2/2019,-73.9693,40.779,37,54.01,0,0,10
jrb,1/2/2019,-74.009,40.7012,38,59.36,0,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,8.05,0,10
nyc,1/2/2019,-73.9693,40.779,36,56.18,0,0,10
nyc,1/2/2019,-73.9693,40.779,35,56.05,0,0,10
jrb,1/2/2019,-74.009,40.7012,37,61.5,4.6,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,10.35,0,10
jrb,1/2/2019,-74.009,40.7012,37,61.5,6.9,0,10
nyc,1/2/2019,-73.9693,40.779,36,58.85,0,0,10
jrb,1/2/2019,-74.009,40.7012,39,64.37,8.05,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,9.2,0,10
nyc,1/2/2019,-73.9693,40.779,36,54.08,0,0,10
jrb,1/2/2019,-74.009,40.7012,39,61.78,6.9,0,10
nyc,1/2/2019,-73.9693,40.779,37,51.99,0,0,9
jrb,1/2/2019,-74.009,40.7012,39,59.52,8.05,0,10
nyc,1/2/2019,-73.9693,40.779,38,50.18,0,0,10
jrb,1/2/2019,-74.009,40.7012,42,50.42,6.9,0,10
nyc,1/2/2019,-73.9693,40.779,38,47.89,0,0,10
jrb,1/2/2019,-74.009,40.7012,42,48.56,3.45,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,0,0,9
nyc,1/2/2019,-73.9693,40.779,39,49.93,0,0,10
jrb,1/2/2019,-74.009,40.7012,41,50.67,5.75,0,10
jrb,1/2/2019,-74.009,40.7012,40,59.65,6.9,0,10
jrb,1/2/2019,-74.009,40.7012,57,69.52,6.9,0,9
nyc,1/2/2019,-73.9693,40.779,38,54.6,0,0,10
jrb,1/2/2019,-74.009,40.7012,38,64.49,5.75,0,9
jrb,1/2/2019,-74.009,40.7012,57,69.52,8.05,0,9
jrb,1/2/2019,-74.009,40.7012,57,69.52,5.75,0,9
jrb,1/2/2019,-74.009,40.7012,38,64.49,5.75,0,10
jrb,1/2/2019,-74.009,40.7012,38,62.14,5.75,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,5.75,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,4.6,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,6.9,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,10.35,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,9.2,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,8.05,0,10
nyc,1/3/2019,-73.9693,40.779,37,56.57,0,0,10
jrb,1/3/2019,-74.009,40.7012,38,64.49,9.2,0,10
nyc,1/3/2019,-73.9693,40.779,38,54.6,0,0,10
jrb,1/3/2019,-74.009,40.7012,39,61.78,6.9,0,10
nyc,1/3/2019,-73.9693,40.779,38,59.36,0,0,10
jrb,1/3/2019,-74.009,40.7012,40,64.49,6.9,0,10
nyc,1/3/2019,-73.9693,40.779,39,61.78,0,0,10
jrb,1/3/2019,-74.009,40.7012,40,67.45,8.05,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,3.45,0,10
jrb,1/3/2019,-74.009,40.7012,41,65.16,5.75,0,10
nyc,1/3/2019,-73.9693,40.779,40,67.45,0,0,10
jrb,1/3/2019,-74.009,40.7012,41,70.08,4.6,0,10
jrb,1/3/2019,-74.009,40.7012,41,70.08,3.45,0,10
nyc,1/3/2019,-73.9693,40.779,40,69.96,0,0,10
jrb,1/3/2019,-74.009,40.7012,41,75.33,3.45,0,10
nyc,1/3/2019,-73.9693,40.779,40,76.44,0,0,10
jrb,1/3/2019,-74.009,40.7012,41,75.94,6.9,0,10
jrb,1/3/2019,-74.009,40.7012,41,80.93,4.6,0,10
nyc,1/3/2019,-73.9693,40.779,40,79.25,0,0,10
jrb,1/3/2019,-74.009,40.7012,41,79.34,4.6,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,0,0,10
nyc,1/3/2019,-73.9693,40.779,40,82.8,0,0,9
nyc,1/3/2019,-73.9693,40.779,40,82.8,0,0,10
jrb,1/3/2019,-74.009,40.7012,42,78.8,3.45,0,10
jrb,1/3/2019,-74.009,40.7012,42.8,75.5,4.6,0,10
nyc,1/3/2019,-73.9693,40.779,41,79.34,0,0,10
jrb,1/3/2019,-74.009,40.7012,42,78.8,4.6,0,10
jrb,1/3/2019,-74.009,40.7012,42.8,81.07,0,0,10
nyc,1/3/2019,-73.9693,40.779,42.8,75.5,0,0,10
nyc,1/3/2019,-73.9693,40.779,42,78.8,0,0,10
jrb,1/3/2019,-74.009,40.7012,43,79.19,0,0,10
nyc,1/3/2019,-73.9693,40.779,44,75.93,0,0,10
jrb,1/3/2019,-74.009,40.7012,44,78.66,4.6,0,10
nyc,1/3/2019,-73.9693,40.779,44,78.66,0,0,10
jrb,1/3/2019,-74.009,40.7012,44,82.12,8.05,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,11.5,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,12.65,0,10
nyc,1/3/2019,-73.9693,40.779,43,79.19,0,0,10
nyc,1/3/2019,-73.9693,40.779,42.8,81.07,0,0,10
jrb,1/3/2019,-74.009,40.7012,43,82.04,12.65,0,10
jrb,1/3/2019,-74.009,40.7012,42.8,81.07,12.65,0,10
nyc,1/3/2019,-73.9693,40.779,43,76.12,0,0,10
jrb,1/3/2019,-74.009,40.7012,43,82.04,8.05,0,10
nyc,1/3/2019,-73.9693,40.779,42,76.04,0,0,10
jrb,1/3/2019,-74.009,40.7012,57,69.52,8.05,0,9
jrb,1/3/2019,-74.009,40.7012,57,69.52,6.9,0,9
jrb,1/3/2019,-74.009,40.7012,42.8,81.07,6.9,0,10
nyc,1/3/2019,-73.9693,40.779,43,73.45,0,0,10
jrb,1/3/2019,-74.009,40.7012,43,79.19,5.75,0,10
nyc,1/3/2019,-73.9693,40.779,43,67.82,0,0,10
jrb,1/3/2019,-74.009,40.7012,45,68.05,6.9,0,10
