"","Geography","Geography_name","total_population","population_density","male_percent","percent_inhouseholds","percent_marriedhouseholds","percent_cohabitingcouple","percent_solomale","percent_solofemale","percent_occupiedhousingunits","percent_owneroccupied","percent_renteroccupied","median_age","percent_under5","percent_5to9","percent_10to14","percent_15to19","percent_20to24","percent_25to29","percent_30to34","percent_35to39","percent_40to44","percent_45to49","percent_50to54","percent_55to59","percent_60to64","percent_65to69","percent_70to74","percent_75to79","percent_80to84","percent_over85","male_median_age","male_percent_under5","male_percent_5to9","male_percent_10to14","male_percent_15to19","male_percent_20to24","male_percent_25to29","male_percent_30to34","male_percent_35to39","male_percent_40to44","male_percent_45to49","male_percent_50to54","male_percent_55to59","male_percent_60to64","male_percent_65to69","male_percent_70to74","male_percent_75to79","male_percent_80to84","male_percent_over85","Female_median_age","female_percent_under5","female_percent_5to9","female_percent_10to14","female_percent_15to19","female_percent_20to24","female_percent_25to29","female_percent_30to34","female_percent_35to39","female_percent_40to44","female_percent_45to49","female_percent_50to54","female_percent_55to59","female_percent_60to64","female_percent_65to69","female_percent_70to74","female_percent_75to79","female_percent_80to84","female_percent_over85","median_household_income","percent_income_under10k","percent_income_10to15k","percent_income_15to25k","percent_income_25to35k","percent_income_35to50k","percent_income_50to75k","percent_income_75to100k","percent_income_100to150k","percent_income_150to200k","percent_income_over200k","percent_novehicles","percent_1vehicle_perperson","percent_lessthan1vehicle_perperson","under25y_percent_highschool","under25y_percent_somecollege","under25y_percent_bachelors","over25y_percent_highschool","over25y_percent_somecollege","over25y_percent_bachelors","over25y_percent_graduatedegree"
"1","1400000US36005000200","Census Tract 2; Bronx County; New York",4779,27624.2774566474,0.476878007951454,0.998326009625445,0.112994350282486,0.0228081188533166,0.0332705586942875,0.0305503243356351,0.951693851944793,0.466122961104141,0.485570890840652,37.2,0.0489642184557439,0.0571249215317012,0.0671688637790333,0.0732370788867964,0.0830717723373091,0.0700983469345051,0.0698890981376857,0.0654948734044779,0.0675873613726721,0.0726093324963381,0.0644486294203808,0.0738648252772547,0.0611006486712701,0.0414312617702448,0.0284578363674409,0.0225988700564972,0.0127641766059845,0.0200878844946642,36.2,0.0513383062746819,0.0614304519526108,0.0706450197455024,0.0754716981132075,0.0860026327336551,0.0658183413777973,0.0728389644580957,0.0645019745502413,0.0666959192628346,0.0697674418604651,0.063624396665204,0.0789820096533567,0.0596752961825362,0.0443176831943835,0.0219394471259324,0.0219394471259324,0.0114085125054849,0.0136024572180781,38,0.0468,0.0532,0.064,0.0712,0.0804,0.074,0.0672,0.0664,0.0684,0.0752,0.0652,0.0692,0.0624,0.0388,0.0344,0.0232,0.014,0.026,68000,0.07,0.007,0.119,0.123,0.098,0.129,0.053,0.266,0.028,0.107,0.0629838878426449,0.0893492362418916,0.185394433982005,0.427,0.308,0,0.262,0.196,0.15,0.194
"2","1400000US36005000400","Census Tract 4; Bronx County; New York",6272,20976.5886287625,0.473373724489796,0.997767857142857,0.129623724489796,0.0248724489795918,0.0301339285714286,0.0357142857142857,0.959090909090909,0.572727272727273,0.386363636363636,38.5,0.0438456632653061,0.0596301020408163,0.0685586734693878,0.0750956632653061,0.0742984693877551,0.0795599489795918,0.0580357142857143,0.0578762755102041,0.0712691326530612,0.0733418367346939,0.0845025510204082,0.0706313775510204,0.0605867346938775,0.045280612244898,0.0395408163265306,0.0167410714285714,0.0110012755102041,0.0102040816326531,35.9,0.046480296396093,0.0636577972381273,0.0727517682721455,0.0751094644661502,0.0848770629841697,0.0848770629841697,0.0575951498821152,0.0542270124621085,0.0663523071741327,0.0737622094981475,0.081508925564163,0.0626473560121253,0.0592792185921186,0.0491748063320984,0.0357022566520714,0.0158302458740317,0.00808352980801617,0.00808352980801617,40.3,0.0414774447471995,0.0560096881622767,0.0647895852255525,0.0750832576445655,0.0647895852255525,0.0747805025734181,0.0584317287314563,0.0611565243717832,0.0756887677868604,0.0729639721465335,0.0871934604904632,0.0778080532848925,0.0617620345140781,0.041780199818347,0.0429912201029367,0.0175597941265516,0.0136239782016349,0.0121102028458977,93155,0.022,0.021,0.085,0.006,0.062,0.189,0.173,0.263,0.114,0.066,0.0701530612244898,0.0784438775510204,0.253507653061224,0.375,0.34,0.179,0.22,0.327,0.161,0.128
"3","1400000US36005001600","Census Tract 16; Bronx County; New York",5795,30989.3048128342,0.433649698015531,0.960310612597066,0.0902502157031924,0.0198446937014668,0.0334771354616048,0.0712683347713546,0.959135744480977,0.147956787224049,0.811178957256928,40.2,0.0414150129421915,0.0631578947368421,0.0669542709232097,0.0785159620362381,0.0716134598792062,0.0578084555651424,0.0614322691975841,0.0569456427955134,0.0612597066436583,0.0638481449525453,0.0745470232959448,0.0716134598792062,0.0607420189818809,0.0517687661777394,0.0415875754961173,0.0295081967213115,0.0226056945642796,0.0246764452113891,35,0.052924791086351,0.0748109828889773,0.0799840827695981,0.0843613211301234,0.0779944289693593,0.065658575407879,0.0648627138877835,0.0525268603263032,0.0569040986868285,0.0596896140071628,0.0740151213688818,0.0676482292081178,0.0549144448865897,0.0465578989255869,0.0318344608038201,0.0222841225626741,0.0163151611619578,0.0167130919220056,43.1,0.0326020719073736,0.0542352224253504,0.0569774527726996,0.0740402193784278,0.06672760511883,0.0517976843388178,0.058805606337599,0.0603290676416819,0.064594759293114,0.0670322973796466,0.0749542961608775,0.0746496039000609,0.0652041438147471,0.0557586837294333,0.0490554539914686,0.0350396099939062,0.0274223034734918,0.0307739183424741,34766,0.038,0.119,0.182,0.167,0.155,0.154,0.068,0.062,0.024,0.032,0.222088006902502,0.0264020707506471,0.337532355478861,0.394,0.29,0.083,0.288,0.298,0.131,0.035
"4","1400000US36005001901","Census Tract 19.01; Bronx County; New York",2292,29012.6582278481,0.503926701570681,0.985165794066318,0.0789703315881326,0.0554101221640489,0.105148342059337,0.0615183246073298,0.94184938036225,0.00476644423260248,0.937082936129647,32.7,0.068935427574171,0.0663176265270506,0.0890052356020942,0.043630017452007,0.0558464223385689,0.110383944153578,0.140052356020942,0.1239092495637,0.0933682373472949,0.0558464223385689,0.0479930191972077,0.037521815008726,0.0327225130890052,0.0135253054101222,0.00741710296684119,0.00698080279232112,0.00392670157068063,0.00261780104712042,32,0.0701298701298701,0.070995670995671,0.0883116883116883,0.0493506493506494,0.058008658008658,0.114285714285714,0.131601731601732,0.109090909090909,0.0805194805194805,0.058008658008658,0.058008658008658,0.0337662337662338,0.0363636363636364,0.0173160173160173,0.00692640692640693,0.00692640692640693,0.00692640692640693,0.00346320346320346,33.2,0.0677220756376429,0.0615655233069481,0.0897097625329815,0.0378188214599824,0.0536499560246262,0.106420404573439,0.148636763412489,0.13896218117854,0.106420404573439,0.0536499560246262,0.0378188214599824,0.0413368513632366,0.029023746701847,0.00967458223394899,0.0079155672823219,0.00703605980650836,0.000879507475813544,0.00175901495162709,61711,0.111,0.103,0.054,0.047,0.102,0.161,0.2,0.117,0.023,0.082,0.207242582897033,0.0527923211169284,0.289267015706806,0.386,0.241,0.138,0.199,0.296,0.218,0.126
"5","1400000US36005001902","Census Tract 19.02; Bronx County; New York",1613,8911.60220994475,0.537507749535028,0.6478611283323,0.0557966522008679,0.0216986980781153,0.092374457532548,0.0502169869807812,0.925430210325048,0.118546845124283,0.806883365200765,37.4,0.0725356478611283,0.0433973961562306,0.0421574705517669,0.0446373217606944,0.0644761314321141,0.103533787972722,0.0855548667079975,0.0886546807191568,0.0917544947303162,0.0688158710477371,0.0936143831370118,0.0719156850588965,0.0588964662120273,0.027898326100434,0.0179789212647241,0.0154990700557967,0.00309981401115933,0.00557966522008679,37.9,0.077277970011534,0.0472895040369089,0.0369088811995386,0.0357554786620531,0.0565167243367935,0.100346020761246,0.0830449826989619,0.0899653979238754,0.107266435986159,0.0530565167243368,0.0991926182237601,0.0830449826989619,0.0611303344867359,0.0299884659746251,0.0184544405997693,0.0103806228373702,0.00461361014994233,0.00576701268742791,35.8,0.0670241286863271,0.0388739946380697,0.0482573726541555,0.0549597855227882,0.0737265415549598,0.107238605898123,0.0884718498659517,0.0871313672922252,0.0737265415549598,0.0871313672922252,0.0871313672922252,0.0589812332439678,0.0563002680965147,0.0254691689008043,0.017426273458445,0.0214477211796247,0.00134048257372654,0.00536193029490617,53882,0.146,0.036,0.036,0.119,0.131,0.213,0.064,0.167,0,0.088,0.127092374457533,0.0216986980781153,0.174209547427154,0.11,0.495,0.176,0.322,0.157,0.143,0.028
"6","1400000US36005002001","Census Tract 20.01; Bronx County; New York",5007,65025.974025974,0.413421210305572,0.969642500499301,0.0525264629518674,0.0229678450169762,0.0415418414220092,0.0697024166167366,0.983641160949868,0.012664907651715,0.970976253298153,32.1,0.0647094068304374,0.0778909526662672,0.0884761334132215,0.0788895546235271,0.085480327541442,0.0778909526662672,0.0617136009586579,0.0511284202117036,0.0529259037347713,0.0499300978629918,0.0601158378270421,0.0643099660475335,0.0437387657279808,0.0439384861194328,0.036349111244258,0.0313561014579589,0.0157779109247054,0.0153784701418015,26.9,0.0763285024154589,0.0995169082125604,0.104830917874396,0.0961352657004831,0.0985507246376812,0.0743961352657005,0.0579710144927536,0.0454106280193237,0.0449275362318841,0.0381642512077295,0.0541062801932367,0.0579710144927536,0.0396135265700483,0.0342995169082126,0.0352657004830918,0.021256038647343,0.0120772946859903,0.00917874396135266,36.7,0.0565202587674498,0.062648961525366,0.0769492679605039,0.0667347633639769,0.0762683009874021,0.0803541028260129,0.0643513789581205,0.0551583248212462,0.0585631596867552,0.0582226762002043,0.0643513789581205,0.0687776642832823,0.0466462376574736,0.0507320394960844,0.0371127000340483,0.038474633980252,0.0183861082737487,0.0197480422199523,16534,0.397,0.071,0.152,0.097,0.062,0.162,0.015,0.045,0,0,0.254643499101258,0.0143798681845416,0.315957659277012,0.451,0.303,0,0.324,0.209,0.024,0.022
"7","1400000US36005002002","Census Tract 20.02; Bronx County; New York",4584,58025.3164556962,0.456369982547993,1,0.0887870855148342,0.0226876090750436,0.0397033158813264,0.0536649214659686,0.961206896551724,0.241995073891626,0.719211822660099,34.8,0.0606457242582897,0.0660994764397906,0.0767888307155323,0.0787521815008726,0.0730802792321117,0.0761343804537522,0.0713350785340314,0.0608638743455497,0.0613001745200698,0.0669720767888307,0.0722076788830716,0.0613001745200698,0.0495200698080279,0.0412303664921466,0.0333769633507853,0.0213787085514834,0.0161431064572426,0.0128708551483421,31.7,0.0654875717017208,0.0764818355640535,0.0898661567877629,0.0850860420650096,0.0769598470363289,0.0803059273422562,0.0669216061185468,0.0645315487571702,0.0654875717017208,0.0611854684512428,0.0683556405353729,0.0554493307839388,0.0430210325047801,0.0382409177820268,0.0310707456978968,0.015774378585086,0.00860420650095602,0.00717017208413002,38.1,0.0565810593900482,0.0573836276083467,0.0658105939004815,0.0734349919743178,0.0698234349919743,0.0726324237560193,0.0750401284109149,0.057784911717496,0.057784911717496,0.0718298555377207,0.0754414125200642,0.0662118780096308,0.054975922953451,0.0437399678972713,0.0353130016051364,0.0260834670947031,0.0224719101123595,0.0176565008025682,48711,0.218,0.083,0.101,0.032,0.093,0.066,0.103,0.24,0.039,0.026,0.235820244328098,0.0349040139616056,0.355584642233857,0.545,0,0,0.282,0.144,0.149,0.022
"8","1400000US36005002300","Census Tract 23; Bronx County; New York",4742,118550,0.428089413749473,0.99852382960776,0.0657950231969633,0.0185575706452973,0.0476592155208773,0.0790805567271194,0.98211467648606,0.00736454497632825,0.974750131509732,33.1,0.060522986081822,0.0767608603964572,0.0809784900885702,0.0828764234500211,0.0809784900885702,0.0706452973428933,0.0685364824968368,0.0474483340362716,0.0493462673977225,0.0497680303669338,0.0546183045128638,0.056305356389709,0.0579924082665542,0.0434415858287642,0.0402783635596795,0.0345845634753269,0.0259384226064951,0.0189793336145086,26.7,0.0778325123152709,0.0906403940886699,0.0990147783251231,0.102463054187192,0.1,0.0694581280788177,0.0625615763546798,0.0349753694581281,0.0354679802955665,0.045320197044335,0.0433497536945813,0.0463054187192118,0.0497536945812808,0.0438423645320197,0.032512315270936,0.0266009852216749,0.0211822660098522,0.0187192118226601,38.1,0.0475663716814159,0.0663716814159292,0.0674778761061947,0.0682153392330384,0.066740412979351,0.0715339233038348,0.0730088495575221,0.0567846607669617,0.0597345132743363,0.0530973451327434,0.0630530973451327,0.0637905604719764,0.0641592920353982,0.043141592920354,0.0460914454277286,0.0405604719764012,0.0294985250737463,0.0191740412979351,24474,0.209,0.159,0.137,0.137,0.13,0.14,0.059,0.013,0.017,0,0.327920708561788,0.0189793336145086,0.376212568536482,0.265,0.36,0.018,0.326,0.16,0.051,0.024
"9","1400000US36005002500","Census Tract 25; Bronx County; New York",5442,111061.224489796,0.482726938625505,0.981624402793091,0.0744211686879824,0.0268283719220875,0.0470415288496876,0.045755237045204,0.956077630234934,0.0163432073544433,0.93973442288049,31.7,0.0630282984196986,0.075707460492466,0.0848952590959206,0.0843439911797133,0.0793825799338479,0.0806688717383315,0.0804851157662624,0.0626607864755605,0.0700110253583241,0.0496141124586549,0.0573318632855568,0.0554943035648659,0.0481440646821022,0.0376699742741639,0.0282984196986402,0.0213156927600147,0.0124954061006983,0.00845277471517824,30.3,0.0696612105062809,0.0784164446136277,0.0913589645984012,0.0886943281309479,0.076513132851161,0.0879330034259612,0.0772744575561477,0.0582413399314808,0.0727065093262276,0.0491054434716407,0.0631899505138942,0.0510087552341073,0.0441568328892273,0.0338789493719071,0.025885039969547,0.0190331176246669,0.00951655881233346,0.00342596117244005,32.9,0.0568383658969805,0.0731793960923623,0.0788632326820604,0.0802841918294849,0.0820603907637655,0.0738898756660746,0.0834813499111901,0.066785079928952,0.0674955595026643,0.050088809946714,0.0518650088809947,0.0596802841918295,0.0518650088809947,0.0412078152753108,0.030550621669627,0.0234458259325044,0.0152753108348135,0.0131438721136767,27196,0.278,0.093,0.095,0.115,0.158,0.192,0.005,0.06,0.003,0,0.308526277104006,0.00661521499448732,0.348401323042999,0.234,0.446,0.1,0.29,0.183,0.068,0.02
"10","1400000US36005002701","Census Tract 27.01; Bronx County; New York",3080,99354.8387096774,0.453571428571429,0.986363636363636,0.062012987012987,0.0211038961038961,0.036038961038961,0.0577922077922078,0.906301824212272,0.0066334991708126,0.899668325041459,33,0.0652597402597403,0.0837662337662338,0.0941558441558442,0.0811688311688312,0.0668831168831169,0.0678571428571429,0.0737012987012987,0.0649350649350649,0.0590909090909091,0.062012987012987,0.0496753246753247,0.0493506493506494,0.0636363636363636,0.0425324675324675,0.0308441558441558,0.0194805194805195,0.012012987012987,0.0136363636363636,28.8,0.0651395848246242,0.100214745884037,0.115246957766643,0.0858983536148891,0.082319255547602,0.0694345025053686,0.062992125984252,0.0715819613457409,0.0522548317823908,0.0551181102362205,0.0443808160343593,0.0386542591267001,0.0651395848246242,0.0379384395132427,0.0221904080171797,0.0178954903364352,0.0078740157480315,0.00572655690765927,35.6,0.065359477124183,0.0701128936423054,0.0766488413547237,0.077243018419489,0.0540701128936423,0.0665478312537136,0.0825906120023767,0.05941770647653,0.0647653000594177,0.0677361853832442,0.0540701128936423,0.0582293523469994,0.0623885918003565,0.0463458110516934,0.0380273321449792,0.0207961972667855,0.0154486036838978,0.0202020202020202,17907,0.228,0.189,0.286,0.105,0.113,0.043,0.011,0.025,0,0,0.262987012987013,0.037012987012987,0.296428571428571,0.053,0.783,0,0.318,0.153,0.085,0.018
