,Geography,Geography_name,total_population,population_density,male_percent,percent_inhouseholds,percent_marriedhouseholds,percent_cohabitingcouple,percent_solomale,percent_solofemale,percent_occupiedhousingunits,percent_owneroccupied,percent_renteroccupied,median_age,percent_under5,percent_5to9,percent_10to14,percent_15to19,percent_20to24,percent_25to29,percent_30to34,percent_35to39,percent_40to44,percent_45to49,percent_50to54,percent_55to59,percent_60to64,percent_65to69,percent_70to74,percent_75to79,percent_80to84,percent_over85,male_median_age,male_percent_under5,male_percent_5to9,male_percent_10to14,male_percent_15to19,male_percent_20to24,male_percent_25to29,male_percent_30to34,male_percent_35to39,male_percent_40to44,male_percent_45to49,male_percent_50to54,male_percent_55to59,male_percent_60to64,male_percent_65to69,male_percent_70to74,male_percent_75to79,male_percent_80to84,male_percent_over85,Female_median_age,female_percent_under5,female_percent_5to9,female_percent_10to14,female_percent_15to19,female_percent_20to24,female_percent_25to29,female_percent_30to34,female_percent_35to39,female_percent_40to44,female_percent_45to49,female_percent_50to54,female_percent_55to59,female_percent_60to64,female_percent_65to69,female_percent_70to74,female_percent_75to79,female_percent_80to84,female_percent_over85,median_household_income,percent_income_under10k,percent_income_10to15k,percent_income_15to25k,percent_income_25to35k,percent_income_35to50k,percent_income_50to75k,percent_income_75to100k,percent_income_100to150k,percent_income_150to200k,percent_income_over200k,percent_novehicles,percent_1vehicle_perperson,percent_lessthan1vehicle_perperson,under25y_percent_highschool,under25y_percent_somecollege,under25y_percent_bachelors,over25y_percent_highschool,over25y_percent_somecollege,over25y_percent_bachelors,over25y_percent_graduatedegree
296,1400000US13121011652,Census Tract 116.52; Fulton County; Georgia,3372,1289.483748,0.5,0.996441281,0.222419929,0.012158956,0.039739027,0.03143535,0.93253012,0.438554217,0.493975904,34.6,0.066725979,0.088078292,0.085112693,0.071470937,0.050415184,0.060201661,0.086298932,0.095788849,0.09460261,0.080367734,0.071767497,0.055753262,0.035883749,0.021055753,0.012455516,0.010379597,0.009193357,0.004448399,35.3,0.070581257,0.099051008,0.080664294,0.066429419,0.045670225,0.057532622,0.075326216,0.097271649,0.105575326,0.080071174,0.072360617,0.06168446,0.037366548,0.018386714,0.012455516,0.010676157,0.007117438,0.001779359,34.2,0.0628707,0.077105575,0.089561091,0.076512456,0.055160142,0.0628707,0.097271649,0.09430605,0.083629893,0.080664294,0.071174377,0.049822064,0.034400949,0.023724792,0.012455516,0.010083037,0.011269276,0.007117438,101362,0,0.014,0.094,0.017,0.126,0.043,0.171,0.152,0.126,0.256,0.006524318,0.147686833,0.126927639,0.841,0,0.159,0.042,0.087,0.42,0.4
297,1400000US13121011653,Census Tract 116.53; Fulton County; Georgia,3753,2508.68984,0.485744738,1,0.264321876,0.004796163,0.013589129,0.017852385,0.973333333,0.938823529,0.034509804,46,0.030908606,0.054090061,0.077271516,0.105782041,0.064215294,0.026378897,0.021849187,0.033839595,0.063948841,0.082067679,0.108979483,0.10951239,0.082067679,0.060218492,0.042632561,0.019451106,0.009059419,0.007727152,46.5,0.029621503,0.051563357,0.080636314,0.100932529,0.068568294,0.032912781,0.021941854,0.024136039,0.063631377,0.071859572,0.103675261,0.119583105,0.089961602,0.057597367,0.047174986,0.0224904,0.009325288,0.004388371,45.7,0.032124352,0.056476684,0.074093264,0.110362694,0.060103627,0.020207254,0.021761658,0.043005181,0.064248705,0.091709845,0.113989637,0.1,0.074611399,0.062694301,0.038341969,0.016580311,0.00880829,0.010880829,217716,0.012,0.02,0,0.008,0.018,0.04,0.047,0.209,0.1,0.546,0,0.196909139,0.12470024,0.216,0.529,0.255,0.054,0.177,0.426,0.298
298,1400000US13121011654,Census Tract 116.54; Fulton County; Georgia,2794,4226.928896,0.464566929,1,0.196492484,0.015748031,0.040443808,0.0547602,0.960629921,0.512685914,0.447944007,37.4,0.05583393,0.058339298,0.066213314,0.073013601,0.072297781,0.077308518,0.063350036,0.070866142,0.057623479,0.073013601,0.078382248,0.088045812,0.064423765,0.040801718,0.025053686,0.015390122,0.011095204,0.008947745,36.5,0.068567026,0.061633282,0.06394453,0.077812018,0.073189522,0.070107858,0.065485362,0.070107858,0.05624037,0.07550077,0.073189522,0.097072419,0.062403698,0.035439137,0.020801233,0.013867488,0.00770416,0.006933744,38.5,0.044786096,0.055481283,0.068181818,0.068850267,0.071524064,0.08355615,0.061497326,0.071524064,0.058823529,0.070855615,0.082887701,0.080213904,0.066176471,0.045454545,0.028743316,0.01671123,0.014037433,0.010695187,114375,0.009,0.007,0.019,0.06,0.048,0.162,0.136,0.191,0.148,0.22,0.013958482,0.158554044,0.146743021,0.16,0.35,0.178,0.085,0.304,0.377,0.195
299,1400000US13121011655,Census Tract 116.55; Fulton County; Georgia,2977,2487.050961,0.491098421,0.998992274,0.253611018,0.008061807,0.020490427,0.028216325,0.961320755,0.860377358,0.100943396,43.1,0.048034934,0.067181727,0.06886127,0.082969432,0.06382264,0.027880417,0.042324488,0.060799463,0.059455828,0.07860262,0.092038965,0.106483037,0.072556265,0.04904266,0.030231777,0.028216325,0.013100437,0.008397716,42.7,0.05129959,0.062927497,0.073187415,0.088235294,0.067715458,0.02872777,0.034883721,0.062927497,0.05129959,0.077291382,0.089603283,0.103967168,0.085499316,0.049931601,0.028043776,0.029411765,0.00752394,0.00752394,43.4,0.044884488,0.071287129,0.064686469,0.077887789,0.060066007,0.027062706,0.04950495,0.058745875,0.067326733,0.079867987,0.094389439,0.108910891,0.060066007,0.048184818,0.032343234,0.027062706,0.018481848,0.009240924,137000,0.015,0,0.033,0.032,0.082,0.067,0.127,0.147,0.134,0.364,0.010749076,0.126301646,0.121598925,0.064,0.479,0.293,0.079,0.227,0.428,0.249
300,1400000US13121011656,Census Tract 116.56; Fulton County; Georgia,4213,2607.054455,0.490624258,0.989556136,0.248279136,0.005221932,0.010681225,0.015428436,0.974063401,0.917867435,0.056195965,43.4,0.039164491,0.070970805,0.084737717,0.092807975,0.057203893,0.027059103,0.027533824,0.050083076,0.072869689,0.093282696,0.090909091,0.085924519,0.064324709,0.053168763,0.039164491,0.02159981,0.015665796,0.013529551,42.8,0.039671021,0.068698597,0.087082729,0.100628931,0.06918239,0.02467344,0.026124819,0.047411708,0.065312046,0.087566522,0.094339623,0.089501693,0.065312046,0.051282051,0.038219642,0.020803096,0.014997581,0.009192066,43.9,0.038676608,0.073159366,0.082479031,0.08527493,0.045666356,0.029356943,0.02889096,0.052656104,0.080149115,0.098788444,0.087604846,0.082479031,0.063373719,0.054986021,0.040074557,0.022367195,0.016309413,0.017707363,160673,0.011,0.038,0.013,0.012,0.007,0.11,0.055,0.146,0.246,0.363,0,0.131972466,0.151673392,0.487,0.114,0.174,0.094,0.097,0.482,0.312
301,1400000US13121011657,Census Tract 116.57; Fulton County; Georgia,3082,4793.157076,0.501297859,1,0.236210253,0.011031798,0.010707333,0.012654121,0.982291667,0.90625,0.076041667,39.5,0.04834523,0.075275795,0.091823491,0.097014925,0.051914341,0.034717716,0.041531473,0.067164179,0.08890331,0.101232966,0.093445814,0.072355613,0.055483452,0.035366645,0.02238806,0.011356262,0.006489293,0.005191434,38.5,0.042718447,0.077669903,0.102912621,0.105501618,0.061488673,0.034304207,0.039482201,0.057605178,0.083495146,0.099676375,0.088673139,0.067313916,0.060194175,0.036893204,0.018770227,0.011650485,0.00776699,0.003883495,40.3,0.054001301,0.072869226,0.080676643,0.08848406,0.042290176,0.035133377,0.043591412,0.076772934,0.094339623,0.102797658,0.098243331,0.077423552,0.050748211,0.033832141,0.026024723,0.011060507,0.005204945,0.006506181,158813,0,0,0.031,0.039,0,0.012,0.088,0.32,0.189,0.321,0,0.161258923,0.157689812,0.264,0.386,0.244,0.116,0.245,0.36,0.266
302,1400000US13121011658,Census Tract 116.58; Fulton County; Georgia,3931,4817.401961,0.472907657,1,0.212668532,0.012210633,0.023403714,0.042482829,0.979064899,0.788555478,0.190509421,40.6,0.049096922,0.060798779,0.081912999,0.079369117,0.050368863,0.04655304,0.049096922,0.07046553,0.07479013,0.097430679,0.084456881,0.080641058,0.073263801,0.042737217,0.029509031,0.01551768,0.007122869,0.006868481,39.7,0.05056482,0.067240452,0.082302313,0.08929532,0.051640667,0.047875202,0.048951049,0.066164605,0.068854223,0.087681549,0.091984938,0.081764389,0.073695535,0.040882195,0.026358257,0.01183432,0.007530931,0.005379236,41.3,0.047779923,0.055019305,0.081563707,0.07046332,0.049227799,0.045366795,0.049227799,0.074324324,0.08011583,0.106177606,0.077702703,0.079633205,0.072876448,0.044401544,0.032335907,0.018822394,0.006756757,0.008204633,110881,0.095,0,0.034,0.057,0.037,0.1,0.1,0.272,0.139,0.167,0.01271941,0.090562198,0.20172984,0.367,0.286,0.143,0.191,0.241,0.287,0.237
303,1400000US13121011659,Census Tract 116.59; Fulton County; Georgia,2824,1663.133098,0.480878187,1,0.229815864,0.007436261,0.016643059,0.02868272,0.970526316,0.707368421,0.263157895,40.3,0.03470255,0.073654391,0.09631728,0.098441926,0.052053824,0.035764873,0.04213881,0.062677054,0.067988669,0.095254958,0.082507082,0.054532578,0.081798867,0.046388102,0.039305949,0.016997167,0.011685552,0.007790368,39.4,0.028718704,0.075110457,0.097938144,0.101620029,0.057437408,0.040500736,0.044918999,0.060382916,0.060382916,0.08910162,0.080265096,0.055228277,0.084683358,0.053019146,0.032400589,0.019145803,0.012518409,0.006627393,41,0.040245566,0.072305593,0.094815825,0.095497954,0.047066849,0.031377899,0.039563438,0.064802183,0.075034106,0.10095498,0.084583902,0.053888131,0.079126876,0.040245566,0.045702592,0.015006821,0.010914052,0.008867667,120833,0,0.067,0,0.024,0.023,0.143,0.113,0.24,0.183,0.206,0,0.109065156,0.198654391,0.161,0.588,0.223,0.188,0.125,0.283,0.403
304,1400000US13121011660,Census Tract 116.60; Fulton County; Georgia,4431,1871.199324,0.465132024,0.972692394,0.214849921,0.007221846,0.028661702,0.069510269,0.937146093,0.725368063,0.211778029,42.3,0.046942,0.066125028,0.071767095,0.08056872,0.048747461,0.034303769,0.044233807,0.07379824,0.070638682,0.082599865,0.079214624,0.066576394,0.049875875,0.046942,0.032949673,0.037237644,0.027081923,0.040397202,40.1,0.04997574,0.069383794,0.080058224,0.086851043,0.055312955,0.038816109,0.045123726,0.073265405,0.068413392,0.090247453,0.077632217,0.06792819,0.053372149,0.04269772,0.032508491,0.026686075,0.016496846,0.025230471,44.3,0.044303797,0.063291139,0.064556962,0.075105485,0.043037975,0.030379747,0.043459916,0.074261603,0.07257384,0.075949367,0.080590717,0.065400844,0.046835443,0.050632911,0.033333333,0.046413502,0.03628692,0.053586498,97545,0.027,0.021,0.038,0.076,0.062,0.116,0.177,0.16,0.141,0.183,0.039945836,0.128187768,0.230873392,0.046,0.843,0,0.139,0.159,0.372,0.276
305,1400000US13121011661,Census Tract 116.61; Fulton County; Georgia,2187,1114.678899,0.493369913,1,0.253772291,0.005944216,0.009144947,0.014174668,0.974431818,0.934659091,0.039772727,44.2,0.041152263,0.0608139,0.083219021,0.117055327,0.061271148,0.024691358,0.0173754,0.04526749,0.0608139,0.089163237,0.105624143,0.103337906,0.070873342,0.046181984,0.032921811,0.022405121,0.009602195,0.008230453,44.1,0.045412419,0.05931418,0.088044486,0.115848007,0.05931418,0.032437442,0.018535681,0.03429101,0.062094532,0.069508804,0.095458758,0.114921223,0.083410565,0.048192771,0.035217794,0.023169601,0.009267841,0.005560704,44.4,0.03700361,0.062274368,0.078519856,0.118231047,0.063176895,0.017148014,0.016245487,0.055956679,0.059566787,0.108303249,0.115523466,0.092057762,0.05866426,0.044223827,0.030685921,0.02166065,0.009927798,0.010830325,182254,0,0,0.053,0,0,0.077,0.077,0.122,0.227,0.444,0,0.173754001,0.090077732,0.565,0.113,0.109,0.128,0.141,0.427,0.189
