pca,num_layers,learning_rate,batch_size,dropout_percent,weight_decay,pca_components,final_train_loss,final_test_loss,final_train_r2,final_test_r2,final_train_mae,final_test_mae,window_size
True,3,5e-05,64,0.4,0.003,29,2.7300101113319397,3.162051873654127,0.67136645,0.5575287,1.2966278,1.2469503,20
True,3,5e-05,64,0.6,0.003,29,3.695965996980667,3.0897970318794252,0.55446154,0.56070703,1.5505776,1.3138001,20
True,3,5e-05,64,0.4,0.004,29,2.101541658639908,2.8408270955085753,0.74707615,0.58246124,1.1464089,1.2320609,20
True,3,5e-05,64,0.6,0.004,29,3.761457848548889,3.275762519985437,0.548835,0.52907157,1.5572225,1.3903778,20
