"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"1400000US13121011628","Census Tract 116.28, Fulton County, Georgia","1325","232","17","24","737","211","378","167","137","115","56","46","287","98","17","24","270","100","0","14","0","14","0","14","283","157","0","14","121","108","162","102","0","14","0","14","432","200","0","14","287","206","99","112","46","60","0","14","323","146","0","14","59","80","117","78","91","102","56","46",
"1400000US13121011629","Census Tract 116.29, Fulton County, Georgia","1247","160","26","44","31","37","821","223","266","96","103","58","69","62","26","44","31","37","12","20","0","14","0","14","375","135","0","14","0","14","325","122","32","38","18","28","194","83","0","14","0","14","74","60","92","62","28","30","609","190","0","14","0","14","410","217","142","71","57","42",
"1400000US13121011630","Census Tract 116.30, Fulton County, Georgia","1212","107","0","14","352","99","544","150","183","91","133","91","125","79","0","14","125","79","0","14","0","14","0","14","341","129","0","14","50","73","212","97","68","66","11","18","283","127","0","14","165","108","118","85","0","14","0","14","463","106","0","14","12","21","214","89","115","68","122","89",
"1400000US13121011631","Census Tract 116.31, Fulton County, Georgia","2270","615","80","62","990","562","779","162","366","335","55","50","474","126","80","62","342","120","18","31","20","31","14","23","914","563","0","20","474","517","432","158","8","15","0","20","195","88","0","20","92","73","64","52","23","29","16","28","687","338","0","20","82","76","265","105","315","332","25","38",
"1400000US13121011632","Census Tract 116.32, Fulton County, Georgia","1240","182","11","21","344","172","581","210","267","125","37","41","289","156","0","14","264","165","25","33","0","14","0","14","340","171","11","21","13","22","259","147","57","77","0","14","268","142","0","14","17","34","136","127","115","95","0","14","343","147","0","14","50","62","161","137","95","88","37","41",
"1400000US13121011633","Census Tract 116.33, Fulton County, Georgia","1206","86","0","14","259","99","676","139","231","104","40","60","196","94","0","14","196","94","0","14","0","14","0","14","382","134","0","14","14","26","317","118","18","35","33","51","282","122","0","14","0","14","221","120","61","71","0","14","346","96","0","14","49","58","138","64","152","78","7","25",
"1400000US13121011634","Census Tract 116.34, Fulton County, Georgia","922","125","0","14","257","142","464","100","115","77","86","50","185","139","0","14","141","123","44","52","0","14","0","14","231","99","0","14","55","45","147","89","0","14","29","41","246","96","0","14","61","67","93","60","75","69","17","35","260","123","0","14","0","14","180","106","40","45","40","34",
"1400000US13121011635","Census Tract 116.35, Fulton County, Georgia","1089","200","24","44","69","52","604","200","378","142","14","22","87","69","0","14","58","50","0","14","29","48","0","14","387","186","0","14","11","18","376","186","0","14","0","14","237","114","24","44","0","14","46","65","167","89","0","14","378","87","0","14","0","14","182","83","182","100","14","22",
"1400000US13121011636","Census Tract 116.36, Fulton County, Georgia","764","127","96","74","545","151","101","61","22","34","0","14","396","104","96","74","300","101","0","14","0","14","0","14","76","67","0","14","33","40","43","50","0","14","0","14","156","89","0","14","76","69","58","56","22","34","0","14","136","100","0","14","136","100","0","14","0","14","0","14",
"1400000US13121011637","Census Tract 116.37, Fulton County, Georgia","1011","107","0","14","228","113","563","175","143","90","77","72","220","109","0","14","199","106","13","24","0","14","8","13","312","131","0","14","0","14","290","132","22","34","0","14","226","102","0","14","29","44","142","85","17","26","38","49","253","106","0","14","0","14","118","72","104","73","31","55",
"1400000US13121011638","Census Tract 116.38, Fulton County, Georgia","1533","209","71","68","512","122","604","143","245","177","101","59","399","109","53","63","311","107","19","30","16","26","0","14","463","140","0","14","140","80","294","130","29","34","0","14","117","67","0","14","0","14","77","59","40","46","0","14","554","181","18","31","61","49","214","67","160","167","101","59",
"1400000US13121011639","Census Tract 116.39, Fulton County, Georgia","716","123","139","116","358","140","200","105","9","19","10","17","245","124","60","87","160","87","25","44","0","14","0","14","219","105","0","14","35","45","175","102","9","19","0","14","72","96","0","14","72","96","0","14","0","14","0","14","180","127","79","100","91","76","0","14","0","14","10","17",
